contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
DRAM260717C00080000,11708,0.8737805590820311,3.475,3244.0,1161808.4421924937,0.0206685818957171,0.3358737054925182,69.29000091552734,5665.0,0.9448247705078124,2.95,166.0,434970.159819048,0.0181676681856702,0.2869160676962738,65.01000213623047,6043.0,-0.07104421142578132,0.5249999999999999,726838.2823734457,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,726838.2823734457,DRAM
DRAM260618P00050000,11621,1.671876640625,0.05,166.0,-67790.18889552017,0.0012150165923524,-0.0034662530671057,69.29000091552734,5983.0,1.2890660546875,0.225,7651.0,-196636.70126106116,0.0077765186253034,-0.0344516013130306,65.01000213623047,5638.0,0.38281058593750017,-0.175,128846.51236554098,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-128846.51236554098,DRAM
DRAM260717P00074000,5042,0.8349625878906248,9.65,5.0,-567604.4348204517,0.0234477839896584,-0.5535506144498009,69.29000091552734,1.0,0.8627943408203125,12.725,1.0,-92.76533288281956,0.0219495361406722,-0.635349210040417,65.01000213623047,5041.0,-0.027831752929687648,-3.0749999999999993,-567511.6694875688,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,-567511.6694875688,DRAM
DRAM260626C00075000,6933,0.9055185229492188,2.225,626.0,1157555.4922321069,0.0347759886593817,0.3277705697803713,69.29000091552734,2482.0,0.9423833886718748,1.615,339.0,281938.6161694817,0.0268777200404262,0.2398401607234748,65.01000213623047,4451.0,-0.036864865722656015,0.6100000000000001,875616.8760626251,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up,875616.8760626251,DRAM
DRAM260626C00080000,6282,0.8945323046874999,1.105,412.0,789785.8463107437,0.0261860673360329,0.186929456093354,69.29000091552734,2618.0,0.960937890625,0.925,3513.0,216744.0426587357,0.0195892210351617,0.1478781843169074,65.01000213623047,3664.0,-0.06640558593750012,0.17999999999999994,573041.8036520081,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up,573041.8036520081,DRAM
DRAM260618P00066000,3606,0.8876964355468748,0.91,1464.0,-1122132.3630601775,0.0648152546074953,-0.2187270782083599,69.29000091552734,298.0,0.8291032714843749,3.3,329.0,-79235.28532598539,0.0629132327210735,-0.5404554429667769,65.01000213623047,3308.0,0.058593164062499925,-2.3899999999999997,-1042897.0777341921,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,1042897.0777341921,DRAM
DRAM260618C00080000,4550,0.851563984375,0.07,638.0,160508.5938648941,0.0073476042946084,0.0123814208112508,69.29000091552734,1277.0,0.92187578125,0.135,281.0,54028.62143772927,0.0100108885993727,0.0311635358218825,65.01000213623047,3273.0,-0.070311796875,-0.065,106479.97242716482,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,106479.97242716482,DRAM
DRAM260618C00082000,3050,0.851563984375,0.03,227.0,41354.56953438692,0.0028241159984158,0.0041845174680685,69.29000091552734,32.0,1.000005,0.13,4.0,1121.4391337983473,0.008292115987703,0.0273962359958352,65.01000213623047,3018.0,-0.148441015625,-0.1,40233.130400588576,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,40233.130400588576,DRAM
DRAM260618P00065000,4532,0.929688203125,0.73,1418.0,-1141300.0448956655,0.0524528148135052,-0.16694305871184,69.29000091552734,1892.0,0.8740246972656249,2.9,588.0,-478870.8421953695,0.0598875989660358,-0.4768707402593091,65.01000213623047,2640.0,0.05566350585937507,-2.17,-662429.202700296,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down; volume confirms,662429.202700296,DRAM
DRAM260626P00068000,2557,0.9243171630859376,3.775,156.0,-452249.0358911921,0.0368388265191567,-0.4182024500535558,69.29000091552734,47.0,0.92187578125,6.425000000000001,2.0,-6913.550904847107,0.0348051048470251,-0.5648513776090411,65.01000213623047,2510.0,0.0024413818359375616,-2.650000000000001,-445335.484986345,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,445335.484986345,DRAM
