contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
MU260626P00900000,9267,0.12500875,33.96,7481.0,-0.1520867336484757,1.5750881889706027e-11,-4.7659765023411176e-11,1020.760009765625,3909.0,1.227970168762207,28.375,991.0,-5539714.234076112,0.0012854142012127,-0.193401616028959,1050.0,5358.0,-1.1029614187622072,5.585000000000001,5539714.081989378,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,5539714.081989378,MU
MU260626C01240000,3166,0.2500075,24.38,3662.0,189.9644143275302,5.758562008535152e-08,4.524109501960799e-07,1020.760009765625,203.0,1.2163125122070313,29.5,3619.0,325926.5627353849,0.001456280789229,0.2357548439004596,1050.0,2963.0,-0.9663050122070314,-5.120000000000001,-325736.5983210574,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-325736.5983210574,MU
MU260626P00810000,3110,0.2500075,14.15,4130.0,-0.7209376877359737,2.2247952339210254e-10,-1.4625539668244871e-09,1020.760009765625,472.0,1.2722204357910152,11.975,60.0,-381108.8144118998,0.0007323663753639,-0.0896584657834254,1050.0,2638.0,-1.0222129357910152,2.1750000000000007,381108.09347421204,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,381108.09347421204,MU
MU260618P01000000,8496,0.062509375,24.56,13120.0,-2.3133437310124623,2.6132344163715024e-10,-1.3497070128209998e-10,1020.760009765625,6312.0,1.0227099645996094,18.025,5602.0,-27617600.744144995,0.0039686276931597,-0.2465993910977603,1050.0,2184.0,-0.9602005895996094,6.535,27617598.430801265,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,27617598.430801265,MU
MU260618P00750000,9246,0.500005,0.47,5833.0,-8.914573522990525e-23,9.253358480040744e-33,0.0,1020.760009765625,7292.0,1.6162128564453124,0.48,4228.0,-410549.6472004034,5.106700937758067e-05,-0.0020260105797166,1050.0,1954.0,-1.1162078564453124,-0.010000000000000009,410549.6472004034,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,410549.6472004034,MU
MU260618C01100000,10569,0.2500075,8.91,23192.0,29.256902186164247,2.6567283311309594e-09,6.051452962682546e-09,1020.760009765625,8738.0,0.9244392321777344,16.325,12375.0,43516355.52762614,0.0045171225976902,0.2603066123183145,1050.0,1831.0,-0.6744317321777344,-7.414999999999999,-43516326.270723954,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-43516326.270723954,MU
MU260626C01250000,2858,0.2500075,22.0,2415.0,61.480000702689104,2.064544957753499e-08,1.5613814442772716e-07,1020.760009765625,1570.0,1.2160073379516605,27.675,1651.0,2447548.7568952693,0.0014140120206798,0.2235787156721221,1050.0,1288.0,-0.9659998379516606,-5.675000000000001,-2447487.2768945666,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-2447487.2768945666,MU
MU260717P00980000,1557,0.0312596875,100.25,1339.0,-395.1931720933359,2.435978916598325e-07,-4.362939538538058e-07,1020.760009765625,397.0,1.0302477687072755,91.15,100.0,-513071.2785398903,0.0011722185747754,-0.34781510602132,1050.0,1160.0,-0.9989880812072756,9.099999999999994,512676.08536779694,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,512676.08536779694,MU
MU260618P00865000,1602,0.500005,2.5,1665.0,-0.0454951565866384,2.725557556555053e-11,-1.1211631623098127e-10,1020.760009765625,498.0,1.2907750305175782,2.265,1433.0,-251742.65900056617,0.0004585100656604,-0.0188295526863114,1050.0,1104.0,-0.7907700305175782,0.23499999999999988,251742.6135054096,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,251742.6135054096,MU
MU260717C01100000,6200,0.062509375,94.0,2438.0,51308.868661739005,7.942431071388462e-06,3.454374198031725e-05,1020.760009765625,5131.0,1.0284472406005862,106.6,1151.0,7170957.899264002,0.0012676418248711,0.502387127102157,1050.0,1069.0,-0.9659378656005863,-12.599999999999994,-7119649.030602263,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-7119649.030602263,MU
MU260717P00380000,2844,0.500005,1.28,1289.0,-0.0002013420186224,6.794500448212015e-14,-1.3952172750464342e-12,1020.760009765625,1788.0,1.5498069384765625,1.33,574.0,-75887.39019961769,3.8496700198155335e-05,-0.0065020298895329,1050.0,1056.0,-1.0498019384765624,-0.050000000000000044,75887.38999827567,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,75887.38999827567,MU
