contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
SMH260626P00560000,27964,0.12500875,5.7,29442.0,-1983.9965551517084,1.869735594937597e-07,-4.42895296659529e-07,616.0,1063.0,0.6196327099609377,4.225,306.0,-1217569.4378019134,0.0028711038514765,-0.1083392772462872,631.619873046875,26901.0,-0.49462395996093766,1.4750000000000005,1215585.4412467617,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,1215585.4412467617,SMH
SMH260717P00600000,23834,0.01563484375,28.05,9402.0,-0.4336790240083528,4.7952367894709876e-11,-1.9609203150139365e-11,616.0,15433.0,0.5235643347167969,24.3,8732.0,-23184297.576244354,0.0037655811752876,-0.3317272238223796,631.619873046875,8401.0,-0.5079294909667968,3.75,23184297.14256533,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,23184297.14256533,SMH
SMH260618P00400000,60772,0.500005,0.03,22767.0,-3.3648922802352495e-51,1.4591710756433792e-61,0.0,616.0,53262.0,1.8046884765625,0.065,9279.0,-229134.42492405744,1.0783538661978244e-05,-0.0002432774446725,631.619873046875,7510.0,-1.3046834765625,-0.035,229134.42492405744,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,229134.42492405744,SMH
SMH260717P00520000,6245,0.12500875,8.1,4763.0,-355.99470949127647,1.5022758191849333e-07,-6.595017082444699e-07,616.0,1970.0,0.5974771697998047,6.95,4589.0,-1348930.752680356,0.0017163737249697,-0.1105961567848761,631.619873046875,4275.0,-0.4724684197998047,1.1499999999999995,1348574.7579708647,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,1348574.7579708647,SMH
SMH260821C00740000,3953,0.062509375,18.5,3893.0,0.00807491388864,5.383313364910055e-12,1.2838930366062103e-11,616.0,124.0,0.5002796554565431,19.55,3893.0,122382.22234829936,0.0024739167331807,0.2729065687071498,631.619873046875,3829.0,-0.4377702804565431,-1.0500000000000007,-122382.21427338547,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-122382.21427338547,SMH
SMH260821P00570000,4498,0.0312596875,30.65,3987.0,-0.0881876362353579,5.1668615753943046e-11,-6.382050443676235e-11,616.0,789.0,0.5242357147216796,28.375,3948.0,-742967.7217278162,0.0023603769827551,-0.2727926406756977,631.619873046875,3709.0,-0.4929760272216796,2.2749999999999986,742967.6335401799,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,742967.6335401799,SMH
SMH260717P00610000,3976,0.007822421875,32.51,3263.0,-17.963009562269093,1.1906148665074213e-08,-2.7439122085581853e-09,616.0,780.0,0.5189257092285156,28.175,3057.0,-1231416.140634471,0.0039572971930423,-0.3713114395036835,631.619873046875,3196.0,-0.5111032873535155,4.334999999999997,1231398.1776249087,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,1231398.1776249087,SMH
SMH260821P00560000,4790,0.062509375,27.45,2665.0,-22538.431668765144,1.2400144747798686e-05,-4.882460188593285e-05,616.0,2219.0,0.5342453802490235,25.75,2504.0,-1959579.37419376,0.0022135736953743,-0.2497769167227717,631.619873046875,2571.0,-0.4717360052490235,1.6999999999999993,1937040.942524995,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,1937040.942524995,SMH
SMH260618P00195000,3271,0.500005,0.01,2417.0,-0.0,0.0,0.0,616.0,861.0,3.6250009375,0.005,2417.0,-30.28692742900069,8.81739899469225e-08,-3.167044290486309e-06,631.619873046875,2410.0,-3.1249959374999996,0.005,30.28692742900069,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,30.28692742900069,SMH
SMH260702P00600000,2133,0.0312596875,19.37,2159.0,-4829.456529663271,5.966861832512091e-06,-5.038135619805928e-06,616.0,207.0,0.5450179776000977,15.775,1953.0,-398777.1113827282,0.0048289010428923,-0.3006626059993527,631.619873046875,1926.0,-0.5137582901000978,3.5950000000000006,393947.6548530649,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,393947.6548530649,SMH
SMH260821P00520000,2834,0.062509375,17.0,1744.0,-0.0045415525977811,4.2232138968103455e-12,-1.0019873819544499e-11,616.0,1097.0,0.5565535067749025,15.9,1634.0,-729273.0545239575,0.0016663720313803,-0.165883694557019,631.619873046875,1737.0,-0.4940441317749025,1.0999999999999996,729273.0499824049,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,729273.0499824049,SMH
SMH260618P00420000,38841,0.500005,0.1,2863.0,-8.899771683893534e-39,6.0384717418625e-49,0.0,616.0,37203.0,1.640626796875,0.07,638.0,-220915.54103334656,1.4884585138811426e-05,-0.0003104066663807,631.619873046875,1638.0,-1.1406217968749999,0.03,220915.54103334656,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,220915.54103334656,SMH
SMH260821P00540000,5402,0.062509375,22.21,1654.0,-45.65281455621818,2.2271606939082396e-08,-6.63678221268782e-08,616.0,3773.0,0.543949873046875,20.275,1647.0,-2925932.7205257853,0.0019438643652781,-0.2048379434781106,631.619873046875,1629.0,-0.48144049804687505,1.9350000000000023,2925887.067711229,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,2925887.067711229,SMH
SMH260618P00597500,4780,0.12500875,4.25,1656.0,-3145.5454252658824,1.73422978289746e-06,-1.4330568257614471e-06,616.0,3207.0,0.6138954626464845,2.8600000000000003,16.0,-8145638.047438982,0.0063667027845667,-0.1057224262954446,631.619873046875,1573.0,-0.48888671264648453,1.3899999999999997,8142492.502013716,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,8142492.502013716,SMH
SMH260717C00710000,6095,0.12500875,8.7,1587.0,24968.16705264215,1.0795717887192416e-05,5.8333971513094966e-05,616.0,4583.0,0.4989979299926758,11.6,1537.0,6179253.814971575,0.0033796723999726,0.2393732744477144,631.619873046875,1512.0,-0.3739891799926758,-2.9000000000000004,-6154285.647918932,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-6154285.647918932,SMH
SMH260626C00625000,2088,0.01563484375,18.23,1558.0,54.88215346866912,6.926904900420904e-08,1.8455381293033997e-08,616.0,578.0,0.516881051940918,25.950000000000003,9.0,1675376.1593741018,0.007265624025541,0.5709278670255697,631.619873046875,1510.0,-0.501246208190918,-7.720000000000002,-1675321.277220633,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-1675321.277220633,SMH
SMH260618P00592500,2136,0.12500875,3.5,1342.0,-1.5111086311608466,1.8643738958676603e-09,-1.227116408486495e-09,616.0,875.0,0.6424596301269532,2.455,19.0,-1806841.816958784,0.0051760743752047,-0.0849051660358168,631.619873046875,1261.0,-0.5174508801269532,1.045,1806840.3058501526,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,1806840.3058501526,SMH
SMH260626C00800000,1820,0.2500075,0.08,1240.0,0.0036372603732967,5.266736355737257e-12,1.884696021682651e-11,616.0,588.0,0.5722699023437501,0.205,22.0,80491.06583868313,0.0003431300709749,0.0074259544150118,631.619873046875,1232.0,-0.3222624023437501,-0.12499999999999999,-80491.06220142276,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-80491.06220142276,SMH
SMH260626P00595000,4378,0.062509375,12.62,1995.0,-145942.93614585,8.785083582245649e-05,-0.0001368056968943,616.0,3177.0,0.5574995422363282,9.725,218.0,-6765161.50174817,0.0053376412620253,-0.2403246439212218,631.619873046875,1201.0,-0.49499016723632827,2.8949999999999996,6619218.565602319,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,6619218.565602319,SMH
SMH260618P00570000,7885,0.2500075,1.27,2559.0,-3.1185412471930603,1.0422895189223731e-09,-1.3761077832796784e-09,616.0,6692.0,0.7414576635742187,1.11,285.0,-5036596.100475409,0.0018865556496482,-0.0286032293182495,631.619873046875,1193.0,-0.4914501635742187,0.15999999999999992,5036592.981934162,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,5036592.981934162,SMH
