strike,type,oi,volume,public_gex
35.0,put,0,58.0,0.0
40.0,put,0,103.0,0.0
45.0,put,0,12.0,0.0
50.0,put,0,546.0,0.0
55.0,call,69,38.0,89.69091912993454
55.0,put,142,40.0,-228.70084399419562
60.0,call,12,11.0,77.54321528443909
60.0,put,0,76.0,0.0
65.0,put,309,1592.0,-1131.460339442438
70.0,put,0,291.0,0.0
75.0,put,0,234.0,0.0
80.0,put,232,166.0,-1186.106464205487
85.0,put,0,1491.0,0.0
90.0,call,12,10.0,113.83086243544986
90.0,put,0,111.0,0.0
95.0,put,163,519.0,-1130.8599968111678
100.0,put,0,115.0,0.0
105.0,put,0,2725.0,0.0
110.0,put,0,138.0,0.0
115.0,put,0,3782.0,0.0
120.0,put,0,2741.0,0.0
125.0,call,2,1.0,31.50236297325944
125.0,put,0,853.0,0.0
130.0,put,0,2336.0,0.0
135.0,put,0,2285.0,0.0
140.0,put,0,378.0,0.0
145.0,put,0,738.0,0.0
150.0,put,0,3732.0,0.0
155.0,put,0,157.0,0.0
160.0,put,0,2198.0,0.0
165.0,put,0,1730.0,0.0
170.0,put,0,120.0,0.0
175.0,call,140,1.0,3052.3382161539816
175.0,put,0,1143.0,0.0
180.0,put,0,322.0,0.0
185.0,put,0,78.0,0.0
190.0,put,0,266.0,0.0
195.0,call,11,1.0,124.09969059631456
195.0,put,0,72.0,0.0
200.0,put,0,318.0,0.0
205.0,put,0,19.0,0.0
210.0,put,0,107.0,0.0
215.0,put,0,6.0,0.0
220.0,put,0,81.0,0.0
225.0,put,0,1.0,0.0
230.0,put,0,316.0,0.0
235.0,put,0,270.0,0.0
240.0,put,0,443.0,0.0
245.0,put,0,293.0,0.0
250.0,put,0,94.0,0.0
255.0,put,0,3.0,0.0
260.0,call,143,1.0,8113.018907793937
260.0,put,0,65.0,0.0
265.0,put,0,33.0,0.0
270.0,call,32,1.0,1933.2784213870525
270.0,put,0,283.0,0.0
275.0,put,0,69.0,0.0
280.0,put,0,187.0,0.0
285.0,put,0,17.0,0.0
290.0,call,145,1.0,8237.674245159185
290.0,put,0,126.0,0.0
295.0,put,0,966.0,0.0
300.0,put,0,885.0,0.0
305.0,put,0,58.0,0.0
310.0,put,0,64.0,0.0
315.0,put,0,37.0,0.0
320.0,put,0,237.0,0.0
325.0,put,0,63.0,0.0
330.0,put,0,99.0,0.0
335.0,put,0,1332.0,0.0
340.0,put,0,269.0,0.0
345.0,put,0,200.0,0.0
350.0,put,0,2395.0,0.0
355.0,put,0,3.0,0.0
360.0,put,0,479.0,0.0
365.0,put,0,34.0,0.0
370.0,put,0,442.0,0.0
375.0,put,0,37.0,0.0
380.0,put,0,327.0,0.0
385.0,put,0,507.0,0.0
390.0,put,0,11195.0,0.0
395.0,put,0,692.0,0.0
400.0,put,0,1237.0,0.0
405.0,put,0,223.0,0.0
410.0,put,0,399.0,0.0
415.0,put,0,122.0,0.0
420.0,put,0,120.0,0.0
425.0,put,0,161.0,0.0
430.0,put,0,172.0,0.0
435.0,put,0,143.0,0.0
440.0,put,0,1142.0,0.0
445.0,put,0,66.0,0.0
450.0,put,0,2884.0,0.0
455.0,put,0,870.0,0.0
460.0,put,0,546.0,0.0
465.0,put,0,66.0,0.0
470.0,put,0,655.0,0.0
475.0,put,0,73.0,0.0
480.0,put,0,233.0,0.0
485.0,put,0,32.0,0.0
490.0,put,0,222.0,0.0
495.0,put,0,255.0,0.0
500.0,put,0,2142.0,0.0
505.0,put,0,45.0,0.0
510.0,put,0,124.0,0.0
515.0,put,0,122.0,0.0
520.0,put,0,564.0,0.0
525.0,put,0,189.0,0.0
530.0,put,0,181.0,0.0
535.0,call,1,0.0,44.67125512065376
535.0,put,0,125.0,0.0
540.0,put,0,1742.0,0.0
545.0,put,0,126.0,0.0
550.0,put,0,11118.0,0.0
555.0,put,0,118.0,0.0
560.0,put,0,1168.0,0.0
565.0,put,0,68.0,0.0
570.0,put,0,467.0,0.0
575.0,put,0,474.0,0.0
580.0,put,0,416.0,0.0
585.0,put,0,247.0,0.0
590.0,put,0,730.0,0.0
592.5,put,0,12.0,0.0
595.0,put,0,324.0,0.0
597.5,put,0,43.0,0.0
600.0,put,0,12222.0,0.0
602.5,put,0,37.0,0.0
605.0,put,0,114.0,0.0
607.5,put,0,13.0,0.0
610.0,put,0,973.0,0.0
