strike,type,oi,volume,public_gex
15.0,call,299.0,1.0,1057.3281814604957
15.0,put,84.0,2.0,-88.85696436638122
17.0,call,4.0,2.0,20.44801722282937
17.0,put,318.0,6.0,-649.7412006850883
18.0,call,1.0,6.0,0.970542649323852
18.0,put,22.0,2.0,-69.712677461422
19.0,call,1.0,1.0,1.6029738369147413
19.0,put,8.0,4.0,-18.79708516984753
20.0,call,21.0,1.0,36.82656580226462
20.0,put,96.0,4.0,-246.84806039796524
21.0,put,12.0,2.0,-39.631269347859
22.0,call,5.0,2.0,15.1654895162484
22.0,put,5.0,1.0,-24.30591683496776
23.0,call,38.0,1.0,174.48460607819817
23.0,put,387.0,1.0,-2112.647560641347
24.0,call,10.0,10.0,52.38258307940656
24.0,put,105.0,21.0,-556.546751976467
25.0,call,28.0,2.0,178.99421756118397
25.0,put,164.0,3.0,-974.747508508667
26.0,call,5.0,1.0,35.68649323594592
26.0,put,255.0,4.0,-1730.0337243261674
27.0,put,84.0,1.0,-707.7844733171291
28.0,call,77.0,9.0,720.0646928450113
28.0,put,405.0,5.0,-3881.997777243748
29.0,call,42.0,1.0,451.9255452464196
29.0,put,8084.0,1.0,-88303.37772658854
30.0,call,867.0,28.0,10211.60269136648
30.0,put,97514.0,2228.0,-783106.557178456
30.5,put,12.0,1.0,-92.93579084845076
31.0,call,14.0,11.0,180.65115971354263
31.0,put,9277.0,540.0,-98558.06303051178
31.5,put,84.0,8.0,-749.2758594310887
32.0,call,40.0,1.0,595.2917361563664
32.0,put,622.0,123.0,-7022.759385758064
32.5,call,0.0,2.0,0.0
32.5,put,12.0,3.0,-105.6945168767502
33.0,call,74.0,5.0,1229.0911803582378
33.0,put,1714.0,260.0,-23498.219713283474
33.5,put,24.0,44.0,-170.77344319384935
34.0,call,23.0,1.0,419.878036253814
34.0,put,5402.0,20.0,-93610.87492901417
34.5,put,29.0,2.0,-327.5284515456558
35.0,call,1010.0,40.0,20023.307357313282
35.0,put,10879.0,207.0,-138769.17828180152
35.5,put,22.0,13.0,-252.7446741945397
36.0,call,159.0,2.0,3476.545571265861
36.0,put,15186.0,34.0,-277475.45557256835
36.5,put,11.0,8.0,-156.10729384609567
37.0,call,348.0,3.0,8198.94698556972
37.0,put,3350.0,37.0,-30732.55752595826
37.5,put,55.0,5.0,-920.7028810784434
38.0,call,127.0,8.0,3077.360362812014
38.0,put,1654.0,66.0,-26272.354869401657
38.5,put,296.0,84.0,-700.4612862316978
39.0,call,647.0,5.0,17774.199913344764
39.0,put,1283.0,46.0,-16890.427860229178
39.5,put,162.0,25.0,-1176.416543207392
40.0,call,9441.0,556.0,273520.4015167148
40.0,put,55103.0,6835.0,-1307599.9436391576
40.5,call,0.0,0.0,0.0
40.5,put,149.0,32.0,-1710.791498532028
41.0,call,440.0,141.0,8913.949116939124
41.0,put,12039.0,1313.0,-215146.51075168504
41.5,call,2.0,6.0,27.21846521455121
41.5,put,630.0,562.0,-13600.044733661041
42.0,call,612.0,48.0,20489.335000809413
42.0,put,5075.0,343.0,-129875.39854860016
42.5,call,1.0,2.0,32.98310702214024
42.5,put,708.0,255.0,-10501.092962892133
43.0,call,154.0,47.0,5413.911669663332
43.0,put,2553.0,245.0,-43015.559632731565
43.5,call,2.0,2.0,35.56384975840453
43.5,put,368.0,97.0,-7300.022071461199
44.0,call,3599.0,17.0,133153.8062119979
44.0,put,5719.0,480.0,-65415.66403486981
44.5,call,2.0,4.0,74.82618263275599
44.5,put,433.0,162.0,-7601.114057342424
45.0,call,6452.0,311.0,252902.4527444943
45.0,put,81526.0,3628.0,-1935852.1377422744
45.5,call,8.0,5.0,275.75281333086355
45.5,put,978.0,46.0,-12926.363710390338
46.0,call,461.0,51.0,18909.80790248426
46.0,put,8269.0,2244.0,-182353.50130559446
46.5,call,13.0,6.0,629.9354801950523
46.5,put,838.0,403.0,-16330.162778954782
47.0,call,182.0,17.0,8051.964256714717
47.0,put,5960.0,960.0,-244010.15401260942
47.5,call,75.0,18.0,3127.7371228907714
47.5,put,1215.0,378.0,-31181.433068968527
48.0,call,773.0,61.0,36295.31688669615
48.0,put,8856.0,13948.0,-327493.30437049165
48.5,call,9.0,18.0,559.3239672392131
48.5,put,934.0,223.0,-48751.93610265874
49.0,call,528.0,133.0,28733.53028667996
49.0,put,25679.0,854.0,-1753423.502988297
49.5,call,57.0,11.0,3510.2396888338526
49.5,put,2825.0,925.0,-92220.29306323305
50.0,call,17909.0,914.0,849861.3444003746
50.0,put,148795.0,9763.0,-9137446.210700102
50.5,call,62.0,21.0,4881.102147697426
50.5,put,1261.0,957.0,-67392.616957388
51.0,call,1668.0,178.0,93100.06902685895
51.0,put,7987.0,2426.0,-326692.3625395831
51.5,call,126.0,12.0,10736.32225737848
51.5,put,2637.0,2230.0,-92199.48379660354
52.0,call,2103.0,87.0,179498.68879301386
52.0,put,18634.0,5394.0,-1224565.5111454916
52.5,call,1973.0,29.0,195510.26967855016
52.5,put,8748.0,2613.0,-819904.5279932409
53.0,call,7864.0,1332.0,435954.79778534116
53.0,put,8194.0,2705.0,-711300.8756861598
53.5,call,331.0,47.0,32914.834773549796
53.5,put,3264.0,1234.0,-339570.8898255098
54.0,call,9930.0,1068.0,774676.2109602445
