date,source_etf,component,weight_assumption,estimated_component_flow_local
2026-07-29,KODEX200,Samsung,0.22,23006704623.045002
2026-07-29,KODEX200,SK_hynix,0.08,8366074408.38
2026-07-29,KODEX_LEVERAGE,Samsung,0.22,5272169874.137768
2026-07-29,KODEX_LEVERAGE,SK_hynix,0.08,1917152681.504643
2026-07-29,KODEX_INVERSE,Samsung,0.22,-29683785358.684868
2026-07-29,KODEX_INVERSE,SK_hynix,0.08,-10794103766.794497
2026-07-29,KODEX_200_FUTURES_INVERSE2X,Samsung,0.22,-50942610509.52399
2026-07-29,KODEX_200_FUTURES_INVERSE2X,SK_hynix,0.08,-18524585639.826904
2026-07-29,KODEX_SEMICON,Samsung,0.25,0.0
2026-07-29,KODEX_SEMICON,SK_hynix,0.3,0.0
