contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
SMH260731C00580000,23924,0.5195360546875,0.2299999999999999,2439.0,5142468.14467748,0.0007401528399045,0.0036251145967284,538.9000244140625,2184.0,0.719729365234375,0.2,25552.0,282715.0996399219,0.0005091622913358,0.0046976540178393,504.2200012207031,21740.0,-0.20019331054687506,0.029999999999999888,4859753.045037558,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up,4859753.045037558,SMH
SMH260731P00497500,20310,0.9963379272460936,2.705,271.0,-24761886.2850798,0.0041981446158661,-0.059269359625858,538.9000244140625,341.0,0.6660189648437502,9.0,20255.0,-1329608.3276592423,0.0153366041878323,-0.3816143380012934,504.2200012207031,19969.0,0.3303189624023434,-6.295,-23432277.957420558,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,23432277.957420558,SMH
SMH260731P00502500,20480,0.6528355029296876,0.83,119.0,-15220362.730144134,0.0025590492477781,-0.0193719749959937,538.9000244140625,731.0,0.6325720336914062,10.675,20179.0,-3124286.5394835705,0.016810992040477,-0.4597482565517604,504.2200012207031,19749.0,0.020263469238281373,-9.845,-12096076.190660562,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,12096076.190660562,SMH
SMH260731P00375000,14312,1.53125234375,0.01,62.0,-1142.7758875679351,2.749440553755667e-07,-2.491012944583204e-06,538.9000244140625,140.0,1.21875390625,0.055,14201.0,-1222.2654091361828,3.433976724699903e-05,-0.0004350026843655,504.2200012207031,14172.0,0.31249843750000017,-0.045,79.48952156824771,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-79.48952156824771,SMH
SMH260731P00495000,5963,0.6450230810546875,0.37,2419.0,-1520182.4313299365,0.00087783823546,-0.0055915250325774,538.9000244140625,718.0,0.6816438085937502,8.25,6610.0,-2647235.0377181303,0.0145020006363172,-0.3463018628599796,504.2200012207031,5245.0,-0.03662072753906265,-7.88,1127052.6063881938,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,1127052.6063881938,SMH
SMH260918C00600000,7305,0.5050708673095703,18.0,1644.0,7586348.591538377,0.0035759889470709,0.3257248815784701,538.9000244140625,2327.0,0.5273179592895508,11.5,7462.0,1785247.7895650235,0.0030176021639035,0.2249987948568028,504.2200012207031,4978.0,-0.022247091979980538,6.5,5801100.801973354,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up,5801100.801973354,SMH
SMH260731C00520000,4412,0.6276892700195313,22.025,305.0,15654533.082686752,0.0122176648740184,0.8657236890809682,538.9000244140625,106.0,0.5297898583984376,3.875,4926.0,407140.4133903104,0.0151076950423292,0.2234505258403104,504.2200012207031,4306.0,0.09789941162109372,18.15,15247392.669296442,LIKELY_CUSTOMER_BUY,95.0,IV up; option price up,-15247392.669296442,SMH
SMH260731P00500000,102451,0.6528355029296876,0.655,26361.0,-55714318.58069284,0.001872553414856,-0.013453839816643,538.9000244140625,98685.0,0.6604037866210939,10.0,11092.0,-397963473.7527445,0.0158617802700807,-0.4204076171966537,504.2200012207031,3766.0,-0.0075682836914062745,-9.345,342249155.17205167,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,342249155.17205167,SMH
SMH260731P00480000,5836,0.73437765625,0.165,807.0,-328078.4159011197,0.000193573529847,-0.0012099896283485,538.9000244140625,2623.0,0.6969024450683594,3.875,5582.0,-6301032.690681702,0.0094487270603655,-0.1624875812938664,504.2200012207031,3213.0,0.037475211181640544,-3.71,5972954.274780583,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-5972954.274780583,SMH
SMH260807P00410000,3203,0.8320329296874999,0.405,309.0,-408012.4151375961,0.0004386317180968,-0.0110684936881977,538.9000244140625,196.0,0.7495142236328125,1.115,3014.0,-63380.67048164547,0.001271922410883,-0.0340158788902473,504.2200012207031,3007.0,0.08251870605468736,-0.71,-344631.7446559506,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,344631.7446559506,SMH
SMH260821C00600000,12720,0.5085498364257812,7.3,7059.0,16177502.866785994,0.0043793329782644,0.2181452389031371,538.9000244140625,9859.0,0.5341233111572266,3.65,4814.0,7102323.130134023,0.0028335274378364,0.1128921294847477,504.2200012207031,2861.0,-0.025573474731445334,3.65,9075179.736651972,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,9075179.736651972,SMH
SMH260821C00585000,3984,0.5258531301879883,10.85,358.0,5695159.509794695,0.0049223235388003,0.2902789659823824,538.9000244140625,1438.0,0.5469405657958986,5.65,3183.0,1283841.4630184558,0.0035116592928015,0.1597900437584057,504.2200012207031,2546.0,-0.021087435607910265,5.199999999999999,4411318.04677624,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up,4411318.04677624,SMH
SMH260731C00550000,4496,0.5195360546875,3.475,2823.0,27188616.561621897,0.0208230528238579,0.232050209893621,538.9000244140625,2011.0,0.6655306884765627,1.065,5861.0,1822915.5291579096,0.0035654498792782,0.0413731111884297,504.2200012207031,2485.0,-0.14599463378906274,2.41,25365701.032463986,LIKELY_CUSTOMER_SELL,65.0,IV down; option price up; volume confirms,25365701.032463986,SMH
SMH260731P00470000,3196,0.8085956640624999,0.115,396.0,-80997.56591757092,8.726674770141305e-05,-0.0005651463658168,538.9000244140625,1249.0,0.6628451684570313,1.745,2470.0,-1760275.112499735,0.0055434223969271,-0.0719588614066575,504.2200012207031,1947.0,0.1457504956054686,-1.6300000000000001,1679277.5465821642,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-1679277.5465821642,SMH
SMH260731C00525000,2032,0.5992471716308594,17.95,1514.0,9685963.557865769,0.0164135574874352,0.8029765757124142,538.9000244140625,407.0,0.5477340148925782,3.0,1936.0,1260982.7818768113,0.012186376990133,0.1659266896552518,504.2200012207031,1625.0,0.05151315673828116,14.95,8424980.775988957,LIKELY_CUSTOMER_BUY,95.0,IV up; option price up; volume confirms,-8424980.775988957,SMH
