strike,type,oi,volume,public_gex
165.0,call,0.0,0.0,0.0
165.0,put,138.0,17.0,-1165.4107124113948
170.0,call,1.0,0.0,7.325453551020416
170.0,put,77.0,102.0,-1911.4927202251993
175.0,call,1.0,0.0,7.668279975270942
175.0,put,4.0,2.0,-102.63396848981954
180.0,call,2.0,0.0,27.985376547930624
180.0,put,25.0,8.0,-432.1699885404669
185.0,call,11.0,0.0,132.16636957580582
185.0,put,5.0,0.0,-201.22289920388351
190.0,call,1.0,0.0,20.074942912672647
190.0,put,2.0,0.0,-90.91096076319992
195.0,put,3.0,2.0,-138.96620270332875
200.0,put,63.0,88.0,-1507.1225858688667
205.0,put,42.0,97.0,-1232.754456332163
210.0,put,34.0,238.0,-914.045484959666
215.0,put,3.0,2.0,-129.81767285664833
220.0,put,105.0,4.0,-5300.912338152877
225.0,call,0.0,15.0,0.0
225.0,put,135.0,10.0,-3503.87053801852
230.0,call,1.0,0.0,20.04054592641748
230.0,put,460.0,9.0,-16050.080675055864
235.0,call,2.0,1.0,86.83794459442417
235.0,put,96.0,76.0,-3441.3916097346373
240.0,put,325.0,122.0,-16771.410968765194
245.0,call,2.0,2.0,197.25531789645004
245.0,put,9.0,3.0,-426.8915327455786
250.0,call,169.0,191.0,8976.605878896582
250.0,put,172.0,16.0,-4664.47267155748
255.0,call,11.0,1.0,573.0670814025788
255.0,put,35.0,3.0,-1334.029799280508
260.0,call,1.0,1.0,110.19352518718472
260.0,put,260.0,9.0,-11215.579456699543
265.0,call,1.0,0.0,83.7252789660137
265.0,put,126.0,41.0,-5948.566622213254
270.0,call,1.0,0.0,90.55518598126586
270.0,put,237.0,4.0,-11504.20881804759
275.0,call,5.0,5.0,453.02402025776223
275.0,put,31.0,8.0,-1895.3876263654429
280.0,call,1.0,0.0,79.02808857172676
280.0,put,83.0,43.0,-5383.466708146369
285.0,put,23.0,4.0,-1460.3008674250696
290.0,call,16.0,25.0,1875.9507388044624
290.0,put,68.0,43.0,-4531.812336203073
295.0,call,22.0,10.0,2285.991826507127
295.0,put,18.0,13.0,-1303.6291360877271
300.0,call,60.0,37.0,5633.237526612905
300.0,put,2159.0,21.0,-79717.58317760282
305.0,call,27.0,6.0,1847.7009660826336
305.0,put,204.0,119.0,-12817.802268807563
