contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
MU261016P00060000,14588,2.06250484375,0.005,3.0,-1994.2694098851132,1.5709238882056893e-07,-2.565167847468075e-05,932.8599853515624,0.0,0.500005,0.01,52.0,-0.0,5.856249807995581e-53,0.0,935.3900146484376,14588.0,1.5624998437500002,-0.005,-1994.2694098851132,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,1994.2694098851132,MU
MU260918C01000000,10394,0.5288438229370118,22.45,2588.0,27822889.803179536,0.0030760018618108,0.3149666346162936,932.8599853515624,0.0,0.062509375,29.8,3472.0,0.0,2.8233770499039087e-06,8.787182517811209e-06,935.3900146484376,10394.0,0.46633444793701184,-7.350000000000001,27822889.803179536,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-27822889.803179536,MU
MU260918P00045000,10153,3.50000125,0.005,1.0,-979.8910060729606,1.1090482890024109e-07,-1.956181654805267e-05,932.8599853515624,0.0,0.500005,0.01,1.0,-0.0,4.849919835934673e-143,0.0,935.3900146484376,10153.0,2.9999962499999997,-0.005,-979.8910060729606,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,979.8910060729606,MU
MU260918P00400000,9800,1.203128984375,0.0849999999999999,5.0,-89191.898896104,1.045842786480893e-05,-0.000801572915306,932.8599853515624,0.0,0.500005,0.06,15.0,-0.0,2.5803797241558567e-14,-3.9668268669856843e-13,935.3900146484376,9800.0,0.7031239843749999,0.024999999999999897,-89191.898896104,LIKELY_CUSTOMER_BUY,95.0,IV up; option price up,89191.898896104,MU
MU260918P00500000,9552,0.9960937890625,0.23,86.0,-301941.9642062307,3.6324214613784094e-05,-0.0025499659720572,932.8599853515624,0.0,0.500005,0.25,132.0,-0.0,2.801358141225496e-09,-5.736033048542311e-08,935.3900146484376,9552.0,0.4960887890625,-0.01999999999999999,-301941.9642062307,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,301941.9642062307,MU
MU261016C01000000,9084,0.6185493467712404,57.675,907.0,14844414.631519273,0.0018778159420215,0.4308408041293161,932.8599853515624,0.0,0.0312596875,65.0,2361.0,0.0,2.1846494319521333e-08,4.230479691317585e-08,935.3900146484376,9084.0,0.5872896592712404,-7.325000000000003,14844414.631519273,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-14844414.631519273,MU
MU261016P00700000,7939,0.6157264990234376,8.75,376.0,-4818968.989429945,0.0006975179695698,-0.0776104511746065,932.8599853515624,0.0,0.12500875,10.8,1185.0,-0.0,7.614243044496107e-12,-4.9300119542294845e-11,935.3900146484376,7939.0,0.49071774902343757,-2.0500000000000007,-4818968.989429945,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,4818968.989429945,MU
MU260918C01500000,7443,0.754885263671875,0.29,513.0,551818.1217889001,8.519517718875827e-05,0.0048388270484665,932.8599853515624,0.0,0.2500075,0.42,150.0,0.0,4.145344476522615e-16,2.9318330704792133e-15,935.3900146484376,7443.0,0.5048777636718751,-0.13,551818.1217889001,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-551818.1217889001,MU
MU260918C01300000,7299,0.6401403173828125,0.92,608.0,1895144.340734637,0.0002983637109313,0.0167866015384486,932.8599853515624,0.0,0.2500075,1.75,747.0,0.0,2.962936285005517e-09,2.9709397018281098e-08,935.3900146484376,7299.0,0.3901328173828125,-0.83,1895144.340734637,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,-1895144.340734637,MU
MU260918P00800000,7232,0.5394333166503908,6.425,758.0,-9188499.38525092,0.0014600013049683,-0.0972707139427604,932.8599853515624,0.0,0.12500875,8.61,1027.0,-0.0,1.0948046108124404e-08,-5.600279351369864e-08,935.3900146484376,7232.0,0.41442456665039085,-2.1849999999999996,-9188499.38525092,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,9188499.38525092,MU
MU260918P00200000,6852,1.9453127734375,0.025,2.0,-8158.258610843552,1.3681924341975314e-06,-0.0001505955386161,932.8599853515624,0.0,0.500005,0.06,2.0,-0.0,1.5177429681483267e-39,0.0,935.3900146484376,6852.0,1.4453077734375,-0.034999999999999996,-8158.258610843552,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,8158.258610843552,MU
MU260918P00300000,6837,1.7509778076171876,0.23,1.0,-73618.02303486795,1.2373302810104087e-05,-0.0014499777433171,932.8599853515624,0.0,0.500005,0.03,4.0,-0.0,5.023770388493001e-23,0.0,935.3900146484376,6837.0,1.2509728076171875,0.2,-73618.02303486795,LIKELY_CUSTOMER_BUY,95.0,IV up; option price up,73618.02303486795,MU
MU260918P00600000,6669,0.7919942675781251,0.485,200.0,-610580.0465328422,0.0001052080475532,-0.0064772182585541,932.8599853515624,0.0,0.2500075,0.63,207.0,-0.0,5.3146838812010375e-15,-3.9190872769268026e-14,935.3900146484376,6669.0,0.5419867675781251,-0.14500000000000002,-610580.0465328422,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,610580.0465328422,MU
