contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
QQQ260904P00625000,21404.0,0.4687553125,0.045,6.0,-1826667.603963309,0.0001704275570174,-0.0015829657483324,707.6400146484375,1034.0,0.3857483300781249,0.05,63.0,-119043.06022853748,0.0002243034875341,-0.0025666608601645,716.4299926757812,20370.0,0.0830069824218751,-0.0050000000000000044,-1707624.5437347714,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,1707624.5437347714,QQQ
QQQ260911P00500000,13203.0,0.6835969140625001,0.035,34.0,-241192.26026002667,3.64809364946033e-05,-0.0008566797468321,707.6400146484375,140.0,0.632816171875,0.04,13083.0,-2889.071030884584,4.020524066464072e-05,-0.0010236223326132,716.4299926757812,13063.0,0.05078074218750006,-0.0049999999999999975,-238303.1892291421,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,238303.1892291421,QQQ
QQQ260901P00708000,11060.0,0.0135596691894531,0.405,516253.0,-3756960032.514,0.6783544563102133,-0.712877332873652,707.6400146484375,372.0,0.1344080700683594,1.085,757.0,-5268767.933612361,0.0275942511383469,-0.1575841919551937,716.4299926757812,10688.0,-0.12084840087890629,-0.6799999999999999,-3751691264.5803876,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-3751691264.5803876,QQQ
QQQ260918C00734000,10232.0,0.1579063702392578,1.905,1354.0,51333455.03975422,0.010018788271271,0.1582894404825329,707.6400146484375,2824.0,0.1580589566040039,4.305,6767.0,18468834.46404507,0.0127416971557857,0.2819336918842891,716.4299926757812,7408.0,-0.00015258636474610454,-2.3999999999999995,32864620.57570915,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,32864620.57570915,QQQ
QQQ260901C00725000,8364.0,0.179695703125,0.005,6478.0,9466927.6302352,0.0022603217673635,0.0052276517350005,707.6400146484375,1791.0,0.1004728625488281,0.4649999999999999,12805.0,25254647.98924836,0.0274725021385388,0.1029713380558021,716.4299926757812,6573.0,0.07922284057617189,-0.4599999999999999,-15787720.35901316,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down; volume confirms,15787720.35901316,QQQ
QQQ260903P00655000,6292.0,0.3476627734374999,0.04,6.0,-710986.5555299119,0.0002256565317317,-0.0012428839386094,707.6400146484375,210.0,0.2919992675781249,0.055,6256.0,-51588.34100715617,0.0004786132851493,-0.003951631916216,716.4299926757812,6082.0,0.05566350585937502,-0.015,-659398.2145227557,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,659398.2145227557,QQQ
QQQ260918P00710000,34050.0,0.1656272402954102,11.525,4947.0,-268852055.9970427,0.0157678137040593,-0.509236064368055,707.6400146484375,28153.0,0.1650779293823242,8.275,32079.0,-198504414.2843616,0.0137371920803088,-0.3785267260136734,716.4299926757812,5897.0,0.000549310913085993,3.25,-70347641.71268111,LIKELY_CUSTOMER_BUY,95.0,IV up; option price up; volume confirms,70347641.71268111,QQQ
QQQ260902C00725000,6460.0,0.1367273828125,0.015,5307.0,878185.6552264185,0.0002714745082965,0.0003790793060682,707.6400146484375,895.0,0.1143887390136718,0.965,3068.0,13598494.388935426,0.0296019467669865,0.1709491407357252,716.4299926757812,5565.0,0.02233864379882819,-0.95,-12720308.733709008,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down; volume confirms,12720308.733709008,QQQ
QQQ260901C00717000,6245.0,0.1035245898437499,0.005,18758.0,18173966.409713864,0.0058115571464714,0.0081516900465351,707.6400146484375,703.0,0.1134732208251953,3.065,3234.0,19515538.516585268,0.0540851074695232,0.4839642337452497,716.4299926757812,5542.0,-0.009948630981445397,-3.06,-1341572.1068714038,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-1341572.1068714038,QQQ
QQQ260904P00675000,7925.0,0.2453688745117187,0.21,930.0,-9997579.2276118,0.0025192473937634,-0.0158272429491705,707.6400146484375,2704.0,0.2229081616210937,0.21,639.0,-2848612.926846112,0.0020524814262826,-0.0169365074168307,716.4299926757812,5221.0,0.022460712890625012,0.0,-7148966.3007656885,LIKELY_CUSTOMER_BUY,80.0,IV up,7148966.3007656885,QQQ
