strike,type,oi,volume,public_gex
205.0,call,106.0,2.0,1172.539549131989
205.0,put,4748.0,1.0,-3712.326637901549
210.0,call,12.0,2.0,146.8002012958197
210.0,put,1598.0,5.0,-1300.9742040504464
215.0,put,1197.0,5.0,-1697.8011517555783
220.0,call,11.0,1.0,164.91442270430247
220.0,put,1952.0,10.0,-2879.05181689186
225.0,put,566.0,3.0,-863.9902411956176
230.0,call,1.0,1.0,18.766069330258688
230.0,put,635.0,1.0,-998.4457046680365
235.0,call,2.0,1.0,39.06747999540267
235.0,put,136.0,2.0,-230.82813765688925
240.0,put,1361.0,850.0,-2359.220011891613
245.0,put,746.0,1.0,-1386.075865623067
250.0,put,2807.0,1.0,-2928.649886345253
255.0,call,0.0,1.0,0.0
255.0,put,1004.0,9.0,-1903.220418393501
260.0,call,2.0,1.0,47.58043872718868
260.0,put,460.0,4.0,-535.2085846403002
265.0,put,596.0,100.0,-1266.8583549162397
270.0,call,1.0,1.0,25.71631323725675
270.0,put,982.0,4.0,-698.8955526630469
275.0,call,49.0,112.0,1309.359252768027
275.0,put,640.0,1.0,-1420.8370603419582
280.0,call,13.0,4.0,361.26688988296473
280.0,put,1386.0,4.0,-1917.9590431349743
285.0,call,15.0,1.0,1433.5363024806304
285.0,put,806.0,5.0,-1954.2703699544047
290.0,put,1202.0,300.0,-3031.539720805468
295.0,call,37.0,50.0,1153.8580524180488
295.0,put,1210.0,106.0,-3800.310346101922
300.0,call,28.0,1.0,907.587165062138
300.0,put,3799.0,5.0,-5885.874594663333
305.0,call,4.0,1.0,137.41302567603793
305.0,put,1272.0,2.0,-4282.674545757616
310.0,put,1360.0,2.0,-4719.590573572147
315.0,call,29.0,11.0,1078.3573864510893
315.0,put,1529.0,4.0,-5452.206547106638
320.0,call,29.0,2.0,1107.546380286385
320.0,put,1834.0,30.0,-6698.756012267948
325.0,call,21.0,10.0,836.3084861779638
325.0,put,1115.0,1.0,-3629.285206035522
330.0,call,32.0,1.0,1358.2748965348455
330.0,put,1635.0,32.0,-6636.527207230694
335.0,call,80.0,1.0,3526.05581114697
335.0,put,1441.0,20.0,-5941.076614561166
340.0,call,28.0,2.0,1260.5193694765885
340.0,put,1920.0,2.0,-8012.51603211687
345.0,put,656.0,10.0,-2963.917843987417
350.0,call,78.0,2.0,3802.0999713636265
350.0,put,744.0,100.0,-3383.979221501205
355.0,call,8.0,1.0,405.5428834408236
355.0,put,510.0,1.0,-2413.459577736713
360.0,call,10.0,1.0,526.7639189129176
360.0,put,1178.0,20.0,-5786.6530025227885
365.0,call,37.0,1.0,2023.6839867216145
365.0,put,1995.0,6.0,-11765.492401348702
370.0,call,57.0,5.0,3243.4769140874478
370.0,put,962.0,100.0,-5877.473242645609
375.0,put,2084.0,2.0,-13160.717333690063
380.0,call,14.0,1.0,860.4661474518418
380.0,put,816.0,12.0,-5314.115587203558
385.0,call,22.0,1.0,2650.73715396641
385.0,put,363.0,100.0,-2527.96055622642
390.0,call,34.0,2.0,2260.7692337337985
390.0,put,8375.0,9.0,-59905.92151215353
395.0,put,1855.0,5.0,-13594.538540942283
400.0,call,632.0,152.0,44944.52254374223
400.0,put,30391.0,21.0,-223797.16956154167
405.0,call,30.0,6.0,2108.710513337164
405.0,put,6564.0,35.0,-104544.1457031338
410.0,call,37.0,1.0,2903.2972934212107
410.0,put,11516.0,372.0,-75648.3090749064
415.0,put,2315.0,437.0,-19862.7067590327
420.0,call,67.0,7.0,6469.144570768164
420.0,put,15776.0,2786.0,-102470.39407023799
425.0,call,49.0,3.0,4328.509550010475
425.0,put,27644.0,3179.0,-121624.2330225489
430.0,call,81.0,2.0,7511.840067688607
430.0,put,7460.0,830.0,-83637.55705047015
435.0,call,58.0,14.0,4482.9417059786
435.0,put,1297.0,2.0,-17509.561669912255
440.0,call,239.0,1.0,23648.783986981398
440.0,put,6539.0,10.0,-93144.23442217271
445.0,call,51.0,14.0,5641.43963674659
445.0,put,1501.0,429.0,-25249.538658633275
450.0,call,255.0,4.0,37002.83869882964
450.0,put,18740.0,72.0,-288347.02521959355
455.0,call,156.0,6.0,19108.497766410062
455.0,put,2379.0,384.0,-45713.10314117779
460.0,call,88.0,1.0,10935.121289382572
460.0,put,11511.0,1162.0,-245616.30364362194
465.0,call,100.0,2.0,14024.879086943138
465.0,put,1388.0,275.0,-31254.179270596418
470.0,call,178.0,2.0,25919.80255909833
470.0,put,3656.0,392.0,-86004.2273674088
475.0,call,299.0,5.0,39704.18391733046
475.0,put,8990.0,274.0,-167137.9313364456
480.0,call,181.0,21.0,28617.059772097724
480.0,put,8217.0,146.0,-219531.6344667602
485.0,call,175.0,5.0,28121.956364706224
485.0,put,3924.0,158.0,-111758.60709926902
490.0,call,532.0,19.0,84716.40770942337
490.0,put,7342.0,334.0,-239375.661706115
495.0,call,140.0,4.0,23623.06655899769
495.0,put,2837.0,85.0,-136600.69455984366
500.0,call,643.0,11.0,121533.21948163776
500.0,put,36302.0,243.0,-1056367.370013953
505.0,call,329.0,3.0,67223.8454321964
505.0,put,3748.0,29.0,-140253.66624303182
510.0,call,416.0,42.0,78859.12571226474
510.0,put,8466.0,34.0,-326434.17580013524
515.0,call,261.0,7.0,57759.57398850646
515.0,put,5213.0,216.0,-217184.041837173
520.0,call,282.0,15.0,66139.13889163994
520.0,put,17132.0,169.0,-1317417.3577422982
525.0,call,963.0,59.0,211774.59967831383
525.0,put,5918.0,250.0,-349502.4885841636
530.0,call,420.0,2.0,107643.25356925916
530.0,put,16785.0,86.0,-1210951.5005704944
535.0,call,164.0,5.0,44202.10549438239
535.0,put,49928.0,36523.0,-947980.8139906499
540.0,call,747.0,122.0,198080.56253164425
540.0,put,17388.0,108.0,-1781306.318884339
545.0,call,289.0,20.0,87045.3408757019
