contractSymbol,oi,iv,mid,volume,public_gex,gamma,delta,spot,oi_prev,iv_prev,mid_prev,volume_prev,public_gex_prev,gamma_prev,delta_prev,spot_prev,oi_change,iv_change,mid_change,new_public_gex,flow_class,confidence,flow_reason,inferred_dealer_new_gex,ticker
SOXX260911P00510000,3569,0.5429733203125001,0.45,437.0,-13217200.453472495,0.0133308033350699,-0.1197020448943501,527.0700073242188,1316.0,0.424810439453125,2.65,2425.0,-9783707.054478254,0.0277679841968121,-0.2525416660658363,517.4299926757812,2253.0,0.1181628808593751,-2.1999999999999997,-3433493.398994241,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,3433493.398994241,SOXX
SOXX261023P00480000,2153,0.3876709182739257,8.75,1008.0,-2475518.8995065982,0.0041389064403913,-0.2083632876669616,527.0700073242188,10.0,0.4079954220581054,12.05,2168.0,-12011.879318693913,0.0044865009344772,-0.2611282805308206,517.4299926757812,2143.0,-0.020324503784179715,-3.3000000000000007,-2463507.020187904,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,-2463507.020187904,SOXX
SOXX260911C00525000,2180,0.1916584741210937,1.65,1880.0,42040732.02495902,0.0694188106572323,0.6584373091087824,527.0700073242188,56.0,0.4001524829101562,2.575,2290.0,438661.85269358056,0.0292575963435515,0.2489702514754759,517.4299926757812,2124.0,-0.2084940087890625,-0.9250000000000003,41602070.17226544,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,41602070.17226544,SOXX
SOXX261016P00470000,2648,0.3967955828857422,5.6,69.0,-2678881.243831156,0.0036416556205242,-0.1526031032027235,527.0700073242188,531.0,0.4198056066894531,8.45,2285.0,-591540.4462021305,0.0041608947054486,-0.204667694887187,517.4299926757812,2117.0,-0.02301002380371092,-2.8499999999999996,-2087340.7976290253,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,-2087340.7976290253,SOXX
SOXX261016P00485000,4277,0.3929198892211913,8.600000000000001,217.0,-5469563.939267417,0.0046033802081275,-0.2188635817262949,527.0700073242188,2872.0,0.4010069665527344,11.95,1415.0,-3912496.860024471,0.0050882257177795,-0.2715135768107073,517.4299926757812,1405.0,-0.008087077331543069,-3.349999999999998,-1557067.0792429466,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down,-1557067.0792429466,SOXX
SOXX261120P00490000,2865,0.4120999952697753,19.95,1258.0,-2890121.2849411364,0.0036312390069466,-0.2956883194979323,527.0700073242188,1580.0,0.4165707757568359,23.4,1300.0,-1617966.4710184897,0.0038248044224738,-0.3333503760552114,517.4299926757812,1285.0,-0.004470780487060566,-3.4499999999999993,-1272154.8139226467,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-1272154.8139226467,SOXX
SOXX261218P00465000,1217,0.4139768075561523,17.55,1002.0,-906267.3435212012,0.0026805822992429,-0.2292162328660736,527.0700073242188,213.0,0.4196835375976562,20.65,1012.0,-163097.0622969393,0.0028599822478925,-0.2585832438006101,517.4299926757812,1004.0,-0.005706730041503905,-3.099999999999998,-743170.2812242619,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-743170.2812242619,SOXX
SOXX260911P00507500,1253,0.5800823242187501,0.4,8.0,-3898839.0917412527,0.011200763663382,-0.1029465989288438,527.0700073242188,253.0,0.5289353747558594,2.825,1458.0,-1458046.8004223832,0.0215252272570245,-0.236467724729835,517.4299926757812,1000.0,0.05114694946289067,-2.4250000000000003,-2440792.291318869,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,2440792.291318869,SOXX
SOXX261002P00420000,683,0.508793974609375,0.625,1.0,-179048.38355986026,0.0009436546704588,-0.0261561048567565,527.0700073242188,53.0,0.5024463818359376,0.725,693.0,-18437.54399468109,0.0012993435720873,-0.0381605236509761,517.4299926757812,630.0,0.006347592773437438,-0.09999999999999998,-160610.83956517917,LIKELY_CUSTOMER_BUY,65.0,IV up; option price down,160610.83956517917,SOXX
SOXX261016P00500000,3625,0.3724122817993164,12.35,4700.0,-5687684.86786096,0.0056479508376071,-0.2918040015176643,527.0700073242188,3068.0,0.3897155755615235,16.75,1090.0,-4826007.493503567,0.0058752917720646,-0.3544250664305451,517.4299926757812,557.0,-0.017303293762207073,-4.4,-861677.374357393,LIKELY_CUSTOMER_SELL,95.0,IV down; option price down; volume confirms,-861677.374357393,SOXX
