strike,type,oi,volume,public_gex
300.0,put,27663.0,1.0,-66.81430961153406
305.0,put,8282.0,100.0,-20.46238007361078
310.0,put,14915.0,25.0,-37.40687680729821
315.0,put,5754.0,1.0,-14.53383460319314
320.0,put,4756.0,100.0,-12.000864734928786
325.0,put,5093.0,100.0,-20.539742680936207
330.0,put,8544.0,4.0,-20.975771594316885
335.0,put,4531.0,5.0,-17.87201568587433
340.0,put,1832.0,10.0,-7.056584914614448
345.0,put,2930.0,10.0,-10.923394347460167
350.0,put,19339.0,5.0,-69.13415693241271
355.0,put,12978.0,4.0,-44.05298401514675
360.0,put,27624.0,1.0,-150.77699172515187
365.0,put,16336.0,4.0,-84.2426115216926
370.0,put,21672.0,60.0,-104.50088056426668
375.0,call,22.0,11.0,1458.1476262772946
375.0,put,19090.0,21.0,-21382.74023745862
380.0,call,13.0,16.0,730.7778713658987
380.0,put,14511.0,122.0,-14085.80223014116
385.0,call,108.0,475.0,2143.8780961412317
385.0,put,10357.0,342.0,-12011.694968719947
390.0,call,2.0,5.0,41.29305705998698
390.0,put,2905.0,70.0,-2405.3450745736945
395.0,call,50.0,125.0,1073.212640474647
395.0,put,6231.0,21.0,-4396.353887820239
400.0,call,61.0,266.0,1361.5239996700575
400.0,put,34203.0,33.0,-15697.170452895569
405.0,call,29.0,90.0,673.7709731741877
405.0,put,12875.0,54.0,-13247.92858084119
410.0,call,21.0,54.0,585.6360897126305
410.0,put,2975.0,202.0,-4023.6389626447544
415.0,call,183.0,571.0,10511.840061005449
415.0,put,109238.0,3079.0,-5889.7735775995825
420.0,call,122.0,187.0,7025.323782149095
420.0,put,108102.0,25.0,-2409.337214322119
425.0,call,38.0,94.0,2773.1981092049723
425.0,put,104088.0,17.0,-6285.774131604327
430.0,call,797.0,2700.0,22645.94564470989
430.0,put,3215.0,219.0,-1131.731344831931
435.0,call,11.0,52.0,325.8283615153204
435.0,put,152579.0,22.0,-267234.21569978294
440.0,call,23.0,65.0,710.1519881856357
440.0,put,7716.0,26.0,-1940.9300094474593
445.0,call,7.0,5.0,225.455080781512
445.0,put,1641.0,14.0,-1143.1904414952476
450.0,call,740.0,2142.0,24861.53074783308
450.0,put,23973.0,38.0,-22558.39261418207
455.0,call,252.0,895.0,8838.677322839723
455.0,put,5515.0,9.0,-2516.4908898073963
460.0,call,135.0,460.0,4943.613498719061
460.0,put,3067.0,5.0,-2818.023688979692
465.0,call,9.0,10.0,344.41431078681296
465.0,put,2196.0,14.0,-566.7911968390034
470.0,call,174.0,505.0,6953.918171700806
470.0,put,11393.0,9.0,-4210.873801651243
475.0,call,147.0,310.0,4762.370210531505
475.0,put,7319.0,127.0,-3976.597356805247
480.0,call,20.0,52.0,1525.7739896465844
480.0,put,12567.0,2.0,-3607.9250718540293
485.0,call,50.0,105.0,1597.1529961044132
485.0,put,4269.0,82.0,-1722.1783185575473
490.0,call,194.0,735.0,8897.659585152762
490.0,put,5660.0,24.0,-4302.135055584093
495.0,call,211.0,715.0,10277.977360608154
495.0,put,8234.0,14.0,-3299.037951405704
500.0,call,226.0,639.0,10151.582223671177
500.0,put,16786.0,575.0,-34619.4485811237
505.0,call,74.0,156.0,3546.058481200218
505.0,put,7184.0,207.0,-10578.372711637905
510.0,call,126.0,440.0,7044.122654305626
510.0,put,3762.0,541.0,-14826.49438682344
515.0,call,3401.0,4355.0,205008.98240859315
515.0,put,203312.0,287.0,-19027.39429193526
520.0,call,102.0,233.0,5419.162407994761
520.0,put,214228.0,656.0,-20022.892845586226
525.0,call,46.0,184.0,3027.162452376577
525.0,put,211978.0,128.0,-18754.989932966528
530.0,call,154.0,428.0,9313.469059800236
530.0,put,23383.0,154.0,-69176.2867208177
535.0,call,116.0,233.0,7011.099804232223
535.0,put,303360.0,249.0,-3010913.216546513
540.0,call,135.0,270.0,8158.940210169027
540.0,put,8157.0,540.0,-21250.943131105712
545.0,call,62.0,155.0,5007.418246890811
545.0,put,6900.0,138.0,-12437.017641208122
550.0,call,1112.0,1742.0,96566.73059127272
550.0,put,18568.0,515.0,-28465.520837718574
555.0,call,110.0,391.0,10090.674342162813
555.0,put,12237.0,357.0,-45644.99332760557
560.0,call,123.0,403.0,16212.194535788876
560.0,put,8097.0,140.0,-69420.21993989659
565.0,call,1388.0,1610.0,149185.76675740434
565.0,put,11672.0,182.0,-17856.560716271335
570.0,call,199.0,541.0,17457.168424675438
570.0,put,11058.0,349.0,-65432.402749895744
575.0,call,520.0,788.0,38907.38169365332
575.0,put,15183.0,240.0,-58654.57694158008
580.0,call,283.0,741.0,48002.269880268825
580.0,put,14023.0,165.0,-157765.11092233515
585.0,call,1663.0,2735.0,199519.4746098607
585.0,put,12639.0,2135.0,-29176.786152924404
590.0,call,257.0,232.0,60829.05155768931
590.0,put,28650.0,1255.0,-338287.66045061965
594.0,call,2031.0,2000.0,808389.3011921389
594.0,put,224.0,2.0,-10317.01490033925
595.0,call,1330.0,1576.0,431721.06224435795
595.0,put,11566.0,2299.0,-43681.751195770215
596.0,call,2.0,5.0,812.0901874610951
596.0,put,318.0,15.0,-14938.78638338359
597.0,call,7.0,10.0,2871.427608691876
597.0,put,20603.0,20.0,-993205.7626680888
598.0,call,1275.0,1500.0,528203.4980481719
598.0,put,7024.0,29.0,-347484.5757598075
599.0,call,1699.0,1500.0,710868.264643691
599.0,put,810.0,5.0,-39828.83939073091
600.0,call,7849.0,7885.0,1887793.3111304066
600.0,put,93080.0,403.0,-1537876.5798753847
601.0,call,731.0,756.0,311370.51805547945
601.0,put,3692.0,208.0,-35061.23453399688
602.0,call,53.0,56.0,22442.990480717915
602.0,put,1345.0,1250.0,-8835.019271869545
603.0,call,62.0,50.0,27026.833886707194
603.0,put,4499.0,457.0,-20134.203012875732
604.0,call,67.0,115.0,14600.283390390881
604.0,put,24222.0,11398.0,-9835.804476977579
605.0,call,5486.0,2465.0,2380522.8133721594
605.0,put,73354.0,11927.0,-97203.50439277018
606.0,call,1672.0,1500.0,751824.8481937096
606.0,put,46648.0,22.0,-56315.23424889996
607.0,call,12.0,15.0,5453.006065999898
607.0,put,42451.0,62.0,-7838.043748494213
608.0,call,158.0,150.0,72560.89705497738
608.0,put,4976.0,1630.0,-30114.392668377855
609.0,call,62.0,50.0,28776.955644706315
609.0,put,3691.0,405.0,-16372.012590006787
610.0,call,1297.0,1987.0,513535.18605585786
610.0,put,56752.0,739.0,-188015.08558540576
611.0,call,901.0,1015.0,422500.668988038
611.0,put,2178.0,342.0,-30882.70234839687
612.0,call,90.0,106.0,41225.81052794427
612.0,put,745.0,141.0,-25189.27210769089
613.0,call,57.0,55.0,26169.7184250859
613.0,put,1404.0,661.0,-29831.34479309412
614.0,call,26.0,30.0,4445.028854608012
614.0,put,2043.0,378.0,-11820.575962204824
615.0,call,1129.0,1199.0,500854.66032148513
615.0,put,106552.0,493.0,-142810.5479406853
616.0,call,210.0,223.0,99135.43151885798
616.0,put,730.0,21.0,-16261.328595274144
617.0,call,159.0,182.0,45252.50532182378
617.0,put,1426.0,4.0,-27176.723911606136
618.0,call,275.0,284.0,109673.89152461197
618.0,put,4239.0,17.0,-23020.22429347799
619.0,call,89.0,85.0,34196.260743781924
619.0,put,2017.0,171.0,-79752.69130195957
620.0,call,2004.0,3226.0,818983.2201998943
620.0,put,170148.0,272.0,-451321.1976766017
621.0,call,91.0,120.0,17085.962566805094
621.0,put,7541.0,10573.0,-23054.209882030616
622.0,call,39.0,71.0,4360.397079820261
622.0,put,1473.0,294.0,-41471.7739201609
623.0,call,82.0,120.0,18525.29420508757
623.0,put,1576.0,338.0,-37787.47158418115
624.0,call,75.0,135.0,1898.5143413437424
624.0,put,2409.0,446.0,-35738.767527049546
625.0,call,1005.0,2481.0,312741.89161329623
625.0,put,140647.0,216.0,-531047.348523262
626.0,call,308.0,280.0,134643.96699755464
626.0,put,2626.0,5.0,-49776.149944624805
627.0,call,229.0,303.0,69534.04361242233
627.0,put,2442.0,715.0,-51672.77378413005
628.0,call,70.0,86.0,9331.770784693013
628.0,put,1549.0,670.0,-16489.647492567416
629.0,call,220.0,205.0,125923.79147817405
629.0,put,2907.0,101.0,-33206.79246647141
630.0,call,1625.0,3752.0,674981.7785963052
630.0,put,18608.0,1575.0,-722546.1441315389
631.0,call,822.0,785.0,471515.3196293313
631.0,put,3245.0,712.0,-15684.696680062181
632.0,call,152.0,155.0,89547.05492462045
632.0,put,1153.0,2354.0,-25849.389384528
633.0,call,342.0,300.0,208028.2785975629
633.0,put,3755.0,1766.0,-55002.8992986502
634.0,call,129.0,150.0,79401.49192528072
634.0,put,9824.0,1754.0,-28379.656346879587
635.0,call,1886.0,4183.0,850638.2341055062
635.0,put,161117.0,93.0,-18189366.814545672
636.0,call,123.0,152.0,77566.00848361627
636.0,put,10058.0,13990.0,-26320.024669153543
637.0,call,226.0,210.0,141122.9981496968
637.0,put,4164.0,11202.0,-63579.03898324
638.0,call,284.0,300.0,183537.4254504341
638.0,put,8011.0,75.0,-19544.709121275046
639.0,call,565.0,500.0,369742.4994025969
639.0,put,12231.0,16825.0,-19617.502122703838
640.0,call,3563.0,4334.0,1626625.786654042
640.0,put,25865.0,648.0,-937369.5756291463
641.0,call,341.0,305.0,228116.56835641013
641.0,put,8824.0,3756.0,-54004.570405571656
642.0,call,299.0,300.0,203177.52742250977
642.0,put,2010.0,648.0,-12625.353234240856
643.0,call,146.0,155.0,99124.4678591589
643.0,put,1682.0,2007.0,-39844.697117950316
644.0,call,227.0,220.0,149274.89495137104
644.0,put,1475.0,2605.0,-62518.1208580034
645.0,call,1671.0,2330.0,785240.7621845596
645.0,put,13377.0,95.0,-416453.6367796162
646.0,call,39.0,45.0,18653.374886569996
646.0,put,2065.0,1077.0,-72638.04202210739
647.0,call,207.0,211.0,147869.45397175816
647.0,put,1761.0,1361.0,-49416.456297009725
648.0,call,6.0,11.0,2946.2504383020973
648.0,put,1782.0,249.0,-110807.72346702084
649.0,call,4.0,31.0,18.419375506011708
649.0,put,8592.0,1463.0,-118768.48353574706
650.0,call,4422.0,5063.0,2224157.1169930594
650.0,put,90850.0,725.0,-1662066.6167942968
651.0,call,136.0,135.0,92745.6233730003
