strike,type,oi,volume,public_gex
310.0,put,436.0,388.0,-585.3275748510977
315.0,put,191.0,319.0,-663.9314276834627
320.0,call,11.0,10.0,770.5070827065246
320.0,put,349.0,344.0,-653.2357012326889
325.0,call,13.0,16.0,162.08557489212384
325.0,put,179.0,341.0,-10224.715163140843
330.0,call,9.0,32.0,118.14065133109088
330.0,put,384.0,357.0,-4811.233884144266
335.0,put,162.0,339.0,-5324.820165758427
340.0,call,3.0,12.0,111.52427389931592
340.0,put,242.0,381.0,-14601.983774452621
345.0,put,402.0,376.0,-23645.517436215363
350.0,call,4.0,14.0,65.13499643832809
350.0,put,1184.0,376.0,-5842.013088240288
355.0,put,163.0,310.0,-13482.178407379948
360.0,put,194.0,294.0,-4546.431468380964
365.0,put,405.0,390.0,-9713.223031129586
370.0,call,4.0,6.0,81.5766148815663
370.0,put,249.0,307.0,-8169.258858863138
375.0,call,7.0,24.0,151.03660201517076
375.0,put,814.0,428.0,-58132.3970006802
380.0,put,1415.0,349.0,-127843.38517906734
385.0,put,200.0,362.0,-19015.428495021915
390.0,call,0.0,6.0,0.0
390.0,put,9300.0,423.0,-16269.140799287225
395.0,call,0.0,0.0,0.0
395.0,put,208.0,278.0,-22656.741716520126
400.0,call,10.0,0.0,1570.307540180319
400.0,put,29371.0,639.0,-10152.347616916639
405.0,call,1.0,0.0,149.35054746305156
405.0,put,7650.0,438.0,-23650.264365083094
410.0,call,1.0,0.0,189.19783007363287
410.0,put,693.0,286.0,-20382.598869043828
415.0,put,4677.0,339.0,-425094.98030735506
420.0,call,11.0,19.0,1797.112165069115
420.0,put,478.0,292.0,-19174.609142904315
425.0,call,6.0,1.0,371.9709237517433
425.0,put,505.0,325.0,-11396.401189571563
430.0,call,6.0,5.0,514.1965300747203
430.0,put,649.0,521.0,-7884.6956814436
435.0,put,988.0,463.0,-16433.71533868103
440.0,call,10.0,1.0,2159.5107658522843
440.0,put,119617.0,7900.0,-2424446.872219068
445.0,call,26.0,17.0,2572.637897228403
445.0,put,268.0,425.0,-29785.06358584202
450.0,call,9.0,4.0,1852.6296519124023
450.0,put,2589.0,578.0,-84209.09649582508
455.0,call,10.0,0.0,2571.1609174413834
455.0,put,11259.0,558.0,-1506335.513335685
460.0,call,11.0,13.0,1353.3613266485672
460.0,put,6699.0,617.0,-1074244.2795528362
465.0,call,5.0,4.0,916.6559220099028
465.0,put,2449.0,720.0,-101077.61877156743
467.5,put,25111.0,304.0,-3804878.472283797
470.0,call,9.0,3.0,1469.3063611709422
470.0,put,17541.0,404.0,-320776.71679297474
472.5,put,1146.0,1663.0,-224541.65450872248
475.0,call,5.0,2.0,1144.8918676020608
475.0,put,14585.0,327.0,-78873.32519967014
477.5,put,37.0,112.0,-6708.326511497462
480.0,call,12.0,11.0,2757.945759814583
480.0,put,2978.0,104.0,-228917.88366164712
482.5,put,98.0,3.0,-4788.255619374864
485.0,put,10530.0,50.0,-96513.95455811828
487.5,call,1.0,0.0,369.6053972674965
487.5,put,47.0,5.0,-10767.375116006999
490.0,call,32.0,25.0,9038.70960869874
490.0,put,4437.0,53.0,-725679.5174827306
492.5,call,3.0,0.0,544.8715550932802
492.5,put,209.0,136.0,-46585.080102631335
495.0,call,39.0,1.0,15452.37212267431
495.0,put,2341.0,57.0,-476356.64575025206
497.5,call,6.0,0.0,1202.346015898394
497.5,put,55.0,28.0,-9709.887377729097
500.0,call,63.0,39.0,10312.451514726068
500.0,put,6693.0,788.0,-854107.4596032184
502.5,call,4.0,3.0,1114.0123930638379
502.5,put,143.0,20.0,-59486.82050200412
505.0,call,16.0,14.0,5521.254081389409
505.0,put,2269.0,401.0,-408751.510825532
507.5,call,5.0,0.0,1233.76506977281
507.5,put,648.0,20.0,-94175.06736101166
510.0,call,7.0,7.0,2184.499224829369
510.0,put,4915.0,151.0,-776654.9990283087
512.5,call,2.0,0.0,551.6856280736785
512.5,put,298.0,80.0,-76130.24643674231
515.0,call,24.0,2.0,13518.445710182299
515.0,put,4201.0,879.0,-691488.5580580811
517.5,call,10.0,7.0,7918.044132356386
517.5,put,1493.0,195.0,-705529.1187331374
520.0,call,41.0,21.0,25097.431111972128
520.0,put,3096.0,856.0,-788995.8397123815
522.5,call,111.0,0.0,71898.26204447867
522.5,put,389.0,127.0,-96759.02771484258
525.0,call,58.0,47.0,39258.496082207566
525.0,put,2129.0,730.0,-689552.4772103342
527.5,call,47.0,0.0,22755.485243118033
527.5,put,448.0,383.0,-257011.87337806736
530.0,call,64.0,13.0,44947.950702712755
530.0,put,18238.0,1050.0,-9575400.13180305
532.5,call,83.0,15.0,58912.834456786215
532.5,put,636.0,81.0,-318316.1972409564
535.0,call,77.0,18.0,68625.49942244912
535.0,put,5764.0,166.0,-3645487.6578313634
537.5,call,60.0,33.0,60400.60839456996
537.5,put,2142.0,247.0,-773636.474324914
540.0,call,296.0,186.0,311845.5630965807
540.0,put,5396.0,294.0,-3226633.501537109
542.5,call,188.0,23.0,147590.6659984015
542.5,put,2156.0,45.0,-1654444.2920860783
545.0,call,268.0,3.0,257786.8443888946
545.0,put,3402.0,1030.0,-3202100.277625667
547.5,call,130.0,14.0,151480.32390185486
547.5,put,668.0,814.0,-576728.8708600823
550.0,call,654.0,65.0,760690.370481475
550.0,put,2803.0,494.0,-1894336.082471686
552.5,call,170.0,75.0,220803.11095424125
552.5,put,688.0,319.0,-833346.1277831489
555.0,call,457.0,10.0,543613.7206433724
555.0,put,4212.0,108.0,-2335927.5872425884
557.5,call,194.0,23.0,294836.1105319833
557.5,put,765.0,309.0,-604786.8229023134
560.0,call,4405.0,62.0,5286798.902617052
560.0,put,4391.0,958.0,-5540246.475132394
562.5,call,867.0,198.0,1357452.9379546542
562.5,put,2667.0,748.0,-4954822.47249122
565.0,call,1852.0,381.0,3349119.560857693
565.0,put,2381.0,634.0,-3058719.9636696386
567.5,call,1038.0,64.0,2023582.4063099716
567.5,put,1846.0,241.0,-3068141.8931348408
570.0,call,3238.0,232.0,7353557.39347586
570.0,put,18601.0,1724.0,-43494958.82307667
572.5,call,4391.0,46.0,11152144.592499495
572.5,put,630.0,387.0,-1105010.7357643202
575.0,call,5028.0,231.0,13476083.19492217
575.0,put,1921.0,2218.0,-4104472.3579894323
577.5,call,1016.0,120.0,2641512.9692064566
577.5,put,1697.0,497.0,-2559615.700283757
580.0,call,3436.0,251.0,12157077.634475699
580.0,put,2430.0,2732.0,-6091018.489876533
582.5,call,662.0,33.0,2710939.8064246313
582.5,put,973.0,2400.0,-2282306.0898341774
585.0,call,3778.0,138.0,18478057.19700937
585.0,put,3983.0,5076.0,-15963715.71068185
587.5,call,700.0,35.0,4077939.619999487
587.5,put,2700.0,3491.0,-12356644.990702808
590.0,call,2535.0,467.0,16499153.255426636
590.0,put,2115.0,5411.0,-10799066.055694923
592.5,call,751.0,2030.0,6120247.148809352
592.5,put,1730.0,2211.0,-9744787.282116702
595.0,call,3206.0,2841.0,31167635.166328095
595.0,put,1710.0,2450.0,-14921427.742245898
597.5,call,2173.0,3046.0,34279035.33251678
597.5,put,960.0,2360.0,-17463094.770702288
600.0,call,7180.0,7856.0,90018930.95938666
600.0,put,2546.0,806.0,-33189036.55938866
602.5,call,1644.0,17329.0,29437972.9676469
602.5,put,305.0,434.0,-2856857.8318596017
605.0,call,3270.0,10329.0,27813164.679937024
605.0,put,774.0,58.0,-6196931.955405798
607.5,call,1921.0,1791.0,20670865.16929875
607.5,put,63.0,6.0,-397825.7776382577
610.0,call,6984.0,4163.0,29504321.512345124
610.0,put,164.0,63.0,-778413.6045591864
612.5,call,1870.0,674.0,10293122.678416543
612.5,put,4.0,7.0,-20065.223497746432
615.0,call,11812.0,1636.0,30481609.293624662
615.0,put,46.0,19.0,-158980.50876188965
617.5,call,1280.0,327.0,4378911.111620247
620.0,call,5317.0,1295.0,15728782.779391205
620.0,put,27.0,21.0,-111200.38390161982
622.5,call,641.0,1031.0,818198.5433105377
625.0,call,4607.0,1108.0,9604793.196467958
625.0,put,26.0,4.0,-86237.07799267094
627.5,call,1012.0,335.0,2697263.8220607955
630.0,call,5816.0,747.0,7503604.754495536
630.0,put,13.0,6.0,-36328.11225103729
632.5,call,189.0,150.0,14993.463915557426
635.0,call,1326.0,645.0,2391330.358410514
635.0,put,2.0,3.0,-4109.176492885441
637.5,call,115.0,6.0,45799.18981259661
640.0,call,3684.0,1222.0,6125520.20126097
640.0,put,0.0,2.0,0.0
642.5,call,143.0,3.0,17529.445849031345
645.0,call,1956.0,137.0,3312306.846582041
