date,ticker,issuer,underlying,leverage,etf_price,etf_ret1d,underlying_ret1d,volume,dollar_volume,aum,prev_aum,aum_source,creation_redemption_flow,rebalance_flow,total_estimated_flow,method
2026-06-13,TQQQ,ProShares,QQQ,3.0,77.5199966430664,0.0198657343033568,0.0058846940079975,94070700.0,7292360348.210907,39774121984.0,39774121984.0,yfinance:totalAssets,-790142139.4834442,1404351223.8756423,614209084.3921981,aum_based
2026-06-13,QLD,ProShares,QQQ,2.0,93.37999725341795,0.0130179750951335,0.0058846940079975,7263900.0,678302962.0491028,14460781568.0,14460781568.0,yfinance:totalAssets,-188250094.3083916,170194549.28834102,-18055545.020050555,aum_based
2026-06-13,SQQQ,ProShares,QQQ,-3.0,40.040000915527344,-0.0193485398015946,0.0058846940079975,67885500.0,2718135482.1510315,2231516928.0,2231516928.0,yfinance:totalAssets,43176594.09934044,157581531.53935948,200758125.63869992,aum_based
2026-06-13,SOXL,Direxion,SOXX,3.0,234.67999267578125,0.0477252864880324,0.0158792487017562,50036700.0,11742612389.520264,25981835264.0,25981835264.0,yfinance:totalAssets,-1239990531.4592628,2475432143.3107047,1235441611.851442,aum_based
2026-06-13,SOXS,Direxion,SOXX,-3.0,4.71999979019165,-0.0503018129886801,0.0158792487017562,631116200.0,2978868331.586552,1834439168.0,1834439168.0,yfinance:totalAssets,92275615.96784616,349554189.3229784,441829805.2908245,aum_based
2026-06-16,TQQQ,ProShares,QQQ,3.0,81.8949966430664,0.0564370509475675,-0.0112903553952452,40185354.0,3290979430.930435,39774121984.0,39774121984.0,yfinance:totalAssets,-2244734148.8057785,-2694383836.399184,-4939117985.204962,aum_based
2026-06-16,QLD,ProShares,QQQ,2.0,96.9000015258789,0.0376954848575141,-0.0112903553952452,2133455.0,206731792.755394,14460781568.0,14460781568.0,yfinance:totalAssets,-545106172.6243649,-326534726.3914639,-871640899.0158287,aum_based
2026-06-16,SQQQ,ProShares,QQQ,-3.0,37.51350021362305,-0.0630994166866897,-0.0112903553952452,31020865.0,1163701225.8042717,2231516928.0,2231516928.0,yfinance:totalAssets,140807416.48327374,-302335430.25151104,-161528013.7682373,aum_based
2026-06-16,SOXL,Direxion,SOXX,3.0,248.72000122070312,0.0598261845197798,0.0223574464426101,31223669.0,7765950991.79483,25981835264.0,25981835264.0,yfinance:totalAssets,-1554394070.6665878,3485324942.3736024,1930930871.7070143,aum_based
2026-06-16,SOXS,Direxion,SOXX,-3.0,4.290200233459473,-0.0910592321688908,0.0223574464426101,394911500.0,1694249409.4958303,1834439168.0,1834439168.0,yfinance:totalAssets,167042622.09861898,492160505.4094364,659203127.5080554,aum_based
2026-06-17,TQQQ,ProShares,QQQ,3.0,79.93000030517578,-0.055089209533722,-0.0190053960328461,66442200.0,5310725066.27655,39774121984.0,39774121984.0,yfinance:totalAssets,2191124939.996399,-4535537640.987908,-2344412700.9915094,aum_based
2026-06-17,QLD,ProShares,QQQ,2.0,95.45999908447266,-0.0375075742010155,-0.0190053960328461,3442700.0,328640138.848114,14460781568.0,14460781568.0,yfinance:totalAssets,542388837.666439,-549665761.288643,-7276923.622203946,aum_based
2026-06-17,SQQQ,ProShares,QQQ,-3.0,38.34999847412109,0.0561827877630063,-0.0190053960328461,52527400.0,2014425709.8495483,2231516928.0,2231516928.0,yfinance:totalAssets,-125372841.95537996,-508930355.647682,-634303197.6030619,aum_based
2026-06-17,SOXL,Direxion,SOXX,3.0,226.19000244140625,-0.1699449451691513,-0.0592091992201252,53910000.0,12193903031.61621,25981835264.0,25981835264.0,yfinance:totalAssets,4415481569.334404,-9230181961.503908,-4814700392.169504,aum_based
2026-06-17,SOXS,Direxion,SOXX,-3.0,4.630000114440918,0.1721519135565465,-0.0592091992201252,610038600.0,2824478787.8133774,1834439168.0,1834439168.0,yfinance:totalAssets,-315802213.0742793,-1303388089.8637536,-1619190302.9380329,aum_based
2026-06-18,TQQQ,ProShares,QQQ,3.0,77.54000091552734,-0.029901155767838472,-0.010070391216744357,77326000.0,5995858110.794067,39774121984.0,39774121984.0,yfinance:totalAssets,1189292216.9725952,-2403245812.088353,-1213953595.115758,aum_based
2026-06-18,QLD,ProShares,QQQ,2.0,93.55999755859375,-0.01990364073016171,-0.010070391216744357,5432900.0,508302110.736084,14460781568.0,14460781568.0,yfinance:totalAssets,287822201.00681686,-291251455.3792918,-3429254.372474909,aum_based
2026-06-18,SQQQ,ProShares,QQQ,-3.0,39.52000045776367,0.03050852751486044,-0.010070391216744357,73047500.0,2886837233.438492,2231516928.0,2231516928.0,yfinance:totalAssets,-68080295.59776497,-269666981.66097057,-337747277.25873554,aum_based
2026-06-18,SOXL,Direxion,SOXX,3.0,233.86000061035156,0.03390953661151408,0.014359634623174689,48200800.0,11272239117.419434,25981835264.0,25981835264.0,yfinance:totalAssets,-881031994.1189346,2238537967.3833327,1357505973.264398,aum_based
2026-06-18,SOXS,Direxion,SOXX,-3.0,4.460000038146973,-0.03671707820561754,0.014359634623174689,651546600.0,2905897860.8545303,1834439168.0,1834439168.0,yfinance:totalAssets,67355246.3949039,316102514.29104686,383457760.68595076,aum_based
