session_date,market,is_regular_session,is_early_close,classification_status,classification_basis,classification_complete,comparison_group,is_expiry_session,expiry_type,monthly_expiry_flag,quarterly_expiry_flag,triple_witching_flag,holiday_adjusted_flag,schedule_source_identifier,schedule_rule_version,schedule_rule_revision_hash,classification_effective_available_at_utc,schedule_published_at_utc,source_hash_or_revision
2022-01-07,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-01-14,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-01-21,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,monthly_expiry_non_quarterly,true,monthly,true,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-01-28,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-02-04,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-02-11,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-02-18,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,monthly_expiry_non_quarterly,true,monthly,true,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-02-25,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-03-04,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-03-11,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-03-18,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,triple_witching,true,triple,true,true,true,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-03-25,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-04-01,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-04-08,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-04-22,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-04-29,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-05-06,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-05-13,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-05-20,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,monthly_expiry_non_quarterly,true,monthly,true,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-05-27,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-06-03,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-06-10,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-06-17,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,triple_witching,true,triple,true,true,true,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-06-24,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-07-01,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-07-08,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-07-15,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,monthly_expiry_non_quarterly,true,monthly,true,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
2022-07-22,US,true,false,available_complete,deterministic_exchange_schedule_with_explicit_event_overrides,true,non_expiry_friday,false,,false,false,false,false,occ_standard_options_expiration_schedule_and_nyse_trading_calendar,expiry_schedule_availability_rules_v1,occ_nyse_standard_monthly_expiry_rule_v1,2025-01-01T00:00:00Z,2025-01-01T00:00:00Z,occ_nyse_standard_monthly_expiry_rule_v1
