component,source_basis,github_repository,main_branch_checked,exists_on_main,local_exists,workflow_or_script,schedule,latest_successful_run,workflow_execution_success_rate,github_workflow_started_at_utc,github_workflow_completed_at_utc,output_path,persistence_type,record_count,notes
option_snapshot_workflow,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,True,True,.github/workflows/option_snapshot.yml,"- cron: ""30 21 * * 1-5""",https://github.com/keisukepppl-sudo/option-chain-snapshots/actions/runs/28227249606,1.0,2026-06-26T08:41:42Z,2026-06-26T08:42:18Z,option_chain_snapshots,github_main_files,68,
dealer_gamma_audit_workflow,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,True,True,.github/workflows/dealer_gamma_audit.yml,,,,,,,no_output_found,0,
daily_scan_workflow,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,True,True,.github/workflows/daily_scan.yml,"- cron: ""0 1 * * 1-5""    # morning_scan_1000_jst / 10:00 JST; - cron: ""15 1 * * 1-5""   # morning_scan_1015_jst / 10:15 JST; - cron: ""30 13 * * 1-5""  # intraday_scan_2230_jst / 22:30 JST; - cron: ""0 14 * * 1-5""   # intraday_scan_2300_jst / 23:00 JST; - cron: ""15 19 * * 1-5""  # pre_close_scan_0415_jst / 04:15 JST; - cron: ""25 19 * * 1-5""  # pre_close_scan_0425_jst / 04:25 JST; - cron: ""30 19 * * 1-5""  # pre_close_scan_0430_jst / 04:30 JST; - cron: ""35 19 * * 1-5""  # pre_close_scan_0435_jst / 04:35 JST",https://github.com/keisukepppl-sudo/option-chain-snapshots/actions/runs/28235483263,0.76,2026-06-26T11:35:17Z,2026-06-26T11:41:14Z,,no_output_found,0,
tests_workflow,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,False,False,.github/workflows/tests.yml,,,,,,,not_deployed,0,not_deployed_on_main
market_environment_score_v0,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,True,True,market_environment_score_v0.py,,,,,,,no_output_found,0,
market_bomb_phase1,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,False,False,market_bomb_phase1.py,,,,,,,not_deployed,0,not_deployed_on_main
market_bomb_phase2a,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,False,False,market_bomb_phase2a.py,,,,,,,not_deployed,0,not_deployed_on_main
market_bomb_phase2b,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,False,False,market_bomb_phase2b.py,,,,,,,not_deployed,0,not_deployed_on_main
market_structure_dashboard,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,False,False,market_structure_dashboard.py,,,,,,,not_deployed,0,not_deployed_on_main
production_scanner,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,True,True,scripts/production_scanner_entry.py,,,,,,,no_output_found,0,
pullback_mode_script,github_main_api,keisukepppl-sudo/option-chain-snapshots,True,True,True,scripts/production_scanner_entry_pullback_mode.py,,,,,,,no_output_found,0,
