contractSymbol,lastTradeDate,strike,last_price,bid,ask,change,percentChange,volume,oi,iv,inTheMoney,contractSize,currency,ticker,type,expiration,T,mid,gamma,delta,public_gex,spot,underlying_return,snapshot_date
DRAM260717C00036000,2026-07-17 17:56:15+00:00,36.0,18.63,16.2,17.8,2.3099995,14.154408,15.0,60,4.7070353662109365,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,17.0,0.007591016299795023,0.9527351706141256,1265.9075721042625,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00038000,2026-07-17 19:14:24+00:00,38.0,15.83,14.4,16.1,1.3999996,9.702007,49.0,301,4.8593789257812485,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,15.25,0.01093511735951567,0.9214417102506292,9148.30777919611,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00039000,2026-07-17 18:38:22+00:00,39.0,15.43,13.4,15.35,1.8100004,13.289284,10.0,43,4.839847700195312,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,14.375,0.012549274461188115,0.9060781302825576,1499.8157038740883,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00040000,2026-07-17 19:13:30+00:00,40.0,13.85,12.4,13.9,1.5600004,12.693251,93.0,359,4.027348715820313,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,13.15,0.013177026334363677,0.9215770211952737,13148.090530739139,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00040500,2026-07-17 19:14:06+00:00,40.5,13.22,11.9,13.7,1.1100006,9.165984,61.0,68,4.226567216796875,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,12.8,0.014634785613141568,0.9037223926248481,2765.9613088792676,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00041000,2026-07-17 19:11:26+00:00,41.0,12.89,11.4,13.3,1.3900003,12.086959,46.0,83,4.179692275390625,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,12.350000000000001,0.015655832504185452,0.8960061837202933,3611.645219713869,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00041500,2026-07-17 19:13:37+00:00,41.5,12.24,10.9,12.6,1.2399998,11.272725,86.0,54,3.8281254296875,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,11.75,0.01632776405500796,0.9023419889660724,2450.593623147938,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00042000,2026-07-17 19:14:20+00:00,42.0,11.85,10.4,11.75,1.1000004,10.232562,73.0,52,3.2968767578125,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,11.075,0.016360199678430602,0.9198761333207541,2364.518775613654,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00042500,2026-07-17 19:14:34+00:00,42.5,11.32,9.9,11.55,1.1099997,10.871692,54.0,63,3.49218876953125,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,10.725000000000001,0.018460876754662688,0.8981171430993753,3232.538422509277,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00043000,2026-07-17 19:11:20+00:00,43.0,10.91,9.45,11.35,1.8099995,19.890102,42.0,24,3.6777351806640626,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,10.399999999999999,0.020164005705063204,0.87605432532995,1345.0513869497197,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00043500,2026-07-17 19:13:10+00:00,43.5,10.63,8.9,10.85,1.4499998,15.795205,26.0,6,3.4843762890625003,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,9.875,0.02152106835639915,0.8740646999066193,358.8937543563801,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00044000,2026-07-17 19:14:15+00:00,44.0,9.68,8.4,9.25,0.8299999,9.37853,85.0,33,2.0781298046874994,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,8.825,0.01591442663863858,0.9570652656491563,1459.673621495438,52.720001220703125,0.007260242013897855,2026-07-17
DRAM260717C00044500,2026-07-17 18:49:28+00:00,44.5,9.57,7.9,9.85,-0.40000057,-4.0120416,6.0,8,3.193361391601562,True,REGULAR,USD,DRAM,call,2026-07-17,0.0027397260273972603,8.875,0.02476737661901701,0.8639707250105466,550.7072810794048,52.720001220703125,0.007260242013897855,2026-07-17
