contractSymbol,lastTradeDate,strike,last_price,bid,ask,change,percentChange,volume,oi,iv,inTheMoney,contractSize,currency,ticker,type,expiration,T,mid,gamma,delta,public_gex,spot,underlying_return,snapshot_date
MU260713C00747500,2026-07-07 15:16:22+00:00,747.5,176.65,183.25,196.9,0.0,0.0,6.0,3.0,2.0517626831054683,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,190.075,0.0003857831164625856,0.9845609373101987,1016.1168509326196,937.0,-0.04319410632108711,2026-07-13
MU260713C00750000,2026-07-10 17:29:21+00:00,750.0,244.34,180.65,194.4,0.0,0.0,2.0,1.0,1.9990234423828124,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,187.525,0.0003773049664883929,0.9854039560962341,331.2620641228479,937.0,-0.04319410632108711,2026-07-13
MU260713C00770000,2026-07-09 13:46:06+00:00,770.0,250.0,160.9,174.4,0.0,0.0,1.0,2.0,1.8505866845703123,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,167.65,0.0005094677012105539,0.9810548119350987,894.5936963282575,937.0,-0.04319410632108711,2026-07-13
MU260713C00790000,2026-07-08 18:01:01+00:00,790.0,119.25,140.9,154.05,-32.979996,-21.664583,2.0,1.0,1.5634787451171874,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,147.47500000000002,0.0005411763227653126,0.9833117111152168,475.1360349219388,937.0,-0.04319410632108711,2026-07-13
MU260713C00800000,2026-07-13 19:59:38+00:00,800.0,138.67,132.05,144.05,-44.339996,-24.228182,32.0,43.0,1.6679704101562502,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,138.05,0.0008720594836468507,0.9682349596221622,32922.571290311505,937.0,-0.04319410632108711,2026-07-13
MU260713C00840000,2026-07-13 15:12:52+00:00,840.0,98.14,93.3,101.35,-27.300003,-21.763395,6.0,1.0,1.0068409033203123,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,97.32499999999999,0.0008868599109251775,0.982226086820692,778.6355091350673,937.0,-0.04319410632108711,2026-07-13
MU260713C00850000,2026-07-13 19:10:56+00:00,850.0,79.5,83.65,91.4,-58.850006,-42.537045,1.0,45.0,0.9858399853515626,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,87.525,0.001315314232058729,0.9723420131456652,51966.23044528666,937.0,-0.04319410632108711,2026-07-13
MU260713C00855000,2026-07-13 19:01:34+00:00,855.0,75.23,77.9,86.4,-36.1,-32.426117,13.0,18.0,0.7744163183593751,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,82.15,0.0007766706068038153,0.9887644427038244,12274.068887728903,937.0,-0.04319410632108711,2026-07-13
MU260713C00860000,2026-07-13 19:28:22+00:00,860.0,68.23,72.4,81.05,-64.6,-48.63359,7.0,5.0,1.4135771508789063,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,76.725,0.0028095974403055733,0.8844302002978462,12333.69727533822,937.0,-0.04319410632108711,2026-07-13
MU260713C00865000,2026-07-13 16:10:37+00:00,865.0,70.25,67.9,76.05,-26.650002,-27.502583,8.0,1.0,1.3449739782714842,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,71.975,0.003041517028062711,0.8794971829656719,2670.3576636111907,937.0,-0.04319410632108711,2026-07-13
MU260713C00875000,2026-07-13 14:57:30+00:00,875.0,60.15,58.0,66.05,-50.85,-45.81081,9.0,13.0,1.2067910754394529,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,62.025,0.003611581428472199,0.8680271533292674,41221.13495726601,937.0,-0.04319410632108711,2026-07-13
MU260713C00880000,2026-07-13 16:46:46+00:00,880.0,49.0,54.1,61.35,-72.5,-59.67078,18.0,9.0,0.7290066162109375,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,57.725,0.0027819750593938994,0.9522158901253013,21982.390748289024,937.0,-0.04319410632108711,2026-07-13
MU260713C00890000,2026-07-13 19:54:46+00:00,890.0,46.4,43.7,51.05,-55.869995,-54.629898,66.0,36.0,0.5468795312500001,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,47.375,0.002859935960295035,0.96530981474401,90393.66414447379,937.0,-0.04319410632108711,2026-07-13
MU260713C00895000,2026-07-13 19:30:36+00:00,895.0,37.0,37.95,46.3,-94.0,-71.75572,20.0,11.0,0.9428716650390624,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,42.125,0.005462011087620962,0.8304961644537907,52750.24053846237,937.0,-0.04319410632108711,2026-07-13
MU260713C00900000,2026-07-13 19:58:24+00:00,900.0,42.4,34.45,40.15,-44.6,-51.264366,573.0,101.0,0.775514940185547,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,37.3,0.0062631161319868815,0.8450690887925656,555381.0025357235,937.0,-0.04319410632108711,2026-07-13
MU260713C00905000,2026-07-13 19:47:59+00:00,905.0,24.8,28.1,35.95,-57.24,-69.77084,527.0,37.0,0.7668480346679689,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,32.025000000000006,0.007147955439892342,0.8128659718372493,232200.28171545305,937.0,-0.04319410632108711,2026-07-13
MU260713C00910000,2026-07-13 19:59:55+00:00,910.0,24.9,24.9,29.65,-52.57,-67.85853,1025.0,82.0,0.591923026123047,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,27.275,0.008645398684564591,0.832160841768994,622412.1470904561,937.0,-0.04319410632108711,2026-07-13
MU260713C00915000,2026-07-13 19:59:38+00:00,915.0,23.08,18.9,24.8,-62.229996,-72.945724,2221.0,113.0,0.5305222729492188,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,21.85,0.010470141805309655,0.8087880996429972,1038747.9721652481,937.0,-0.04319410632108711,2026-07-13
MU260713C00920000,2026-07-13 19:57:27+00:00,920.0,19.28,14.55,19.55,-48.17,-71.41586,3569.0,185.0,0.4368952795410156,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,17.05,0.013336333396090664,0.7930033414389392,2166144.14965498,937.0,-0.04319410632108711,2026-07-13
MU260713C00925000,2026-07-13 19:56:06+00:00,925.0,14.0,7.75,14.15,-55.760002,-79.93119,7060.0,378.0,0.33179379150390625,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,10.95,0.018405680641710206,0.7755304204128448,6108335.2363275895,937.0,-0.04319410632108711,2026-07-13
MU260713C00930000,2026-07-13 19:59:43+00:00,930.0,8.0,4.85,10.55,-50.38,-86.29668,16420.0,129.0,0.3311834460449219,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,7.7,0.02222031828905067,0.6727669457993731,2516628.8310016193,937.0,-0.04319410632108711,2026-07-13
MU260713C00935000,2026-07-13 19:37:25+00:00,935.0,0.96,1.74,2.53,-62.34,-98.48341,15806.0,102.0,0.06604937866210939,True,REGULAR,USD,MU,call,2026-07-13,0.0027397260273972603,2.135,0.09960531427289915,0.7426347195043408,8919938.573020024,937.0,-0.04319410632108711,2026-07-13
