contractSymbol,lastTradeDate,strike,last_price,bid,ask,change,percentChange,volume,oi,iv,inTheMoney,contractSize,currency,ticker,type,expiration,T,mid,gamma,delta,public_gex,spot,underlying_return,snapshot_date
SMH260824C00470000,2026-08-21 14:24:09+00:00,470.0,90.0,73.65,77.9,0.0,0.0,1.0,1,1.8027353613281247,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,75.775,0.001974470858967346,0.9507650892715748,590.3474896372386,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00475000,2026-08-19 13:34:42+00:00,475.0,99.0,68.55,72.9,0.0,0.0,0.0,1,1.7001968115234376,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,70.725,0.002180409035063812,0.9481876360304813,651.920991584289,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00490000,2026-08-19 14:10:08+00:00,490.0,70.23,53.55,57.9,0.0,0.0,10.0,10,1.39453427734375,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,55.724999999999994,0.0030509181189149223,0.9382893658736535,9121.946998661568,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00497500,2026-08-19 13:40:03+00:00,497.5,68.25,46.25,50.4,0.0,0.0,0.0,1,1.2412147314453121,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,48.325,0.003708840949622952,0.9316954404213076,1108.9071961380168,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00500000,2026-08-21 19:45:07+00:00,500.0,60.42,43.6,47.9,0.0,0.0,14.0,5,1.189457177734375,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,45.75,0.003977648221871161,0.9292232263674969,5946.389716963911,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00505000,2026-08-19 13:35:33+00:00,505.0,66.5,38.55,42.9,0.0,0.0,0.0,1,1.0864303491210938,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,40.724999999999994,0.004622974380148619,0.9234703348474834,1382.2241577195857,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00510000,2026-08-19 13:39:02+00:00,510.0,58.0,33.8,37.9,0.0,0.0,0.0,2,0.9829103271484375,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,35.849999999999994,0.005456671424126888,0.9165273401933505,3262.982851712818,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00517500,2026-08-17 13:38:45+00:00,517.5,75.5,26.05,30.4,0.0,0.0,0.0,1,0.8247087841796874,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,28.225,0.007260756561756602,0.9031893975721939,2170.895250052919,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00520000,2026-08-21 16:09:24+00:00,520.0,39.08,23.55,27.9,0.0,0.0,22.0,9,0.7709983837890625,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,25.725,0.008089955312027572,0.8976314548806661,21769.358151011904,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00525000,2026-08-18 19:16:36+00:00,525.0,43.29,18.6,22.9,0.0,0.0,0.0,5,0.6623568920898439,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,20.75,0.010317158958562153,0.8837621083968055,15423.648477043042,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00530000,2026-08-24 15:28:19+00:00,530.0,13.26,13.75,17.9,-18.74,-58.5625,8.0,1,0.5502974658203126,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,15.825,0.013807503086158704,0.8646832250834393,4128.308477206561,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00535000,2026-08-24 17:06:44+00:00,535.0,12.15,8.75,12.65,-10.550001,-46.475773,11.0,8,0.3969786865234375,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,10.7,0.01990176616645057,0.8566966610059596,47603.46861480107,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00540000,2026-08-24 19:34:25+00:00,540.0,8.32,3.75,7.9,-16.380001,-66.315796,72.0,10,0.3083565258789062,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,5.825,0.03308168070298311,0.785292020915084,98910.99211360779,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00545000,2026-08-24 19:33:33+00:00,545.0,3.41,0.29,4.3,-16.43,-82.8125,1347.0,12,0.2915109912109374,True,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,2.295,0.04655808181861112,0.5913069488423159,167044.9372242477,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00547500,2026-08-24 19:58:06+00:00,547.5,0.38,0.0,0.75,-16.730001,-97.77908,776.0,1,0.09302664794921875,False,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,0.375,0.1456600828565401,0.4060156594743926,43550.94118719162,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00550000,2026-08-24 20:02:56+00:00,550.0,0.05,0.0,0.13,-10.67,-99.53358,2779.0,13,0.0893645751953125,False,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,0.065,0.07395171972206972,0.11090661924374284,287440.9387315414,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00552500,2026-08-24 20:05:10+00:00,552.5,0.01,0.0,0.05,-9.969999,-99.899796,2189.0,5,0.11231356445312499,False,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,0.025,0.027195906787828912,0.04071433988099635,40656.55167227933,546.7999877929688,-0.024303193198895956,2026-08-24
SMH260824C00555000,2026-08-24 19:54:47+00:00,555.0,0.01,0.0,0.01,-7.49,-99.86667,406.0,55,0.11914943359374999,False,REGULAR,USD,SMH,call,2026-08-24,0.0027397260273972603,0.005,0.007120482064477333,0.00898963696034994,117092.50004749662,546.7999877929688,-0.024303193198895956,2026-08-24
