field,value
main_outcome,manual_raw_source_inputs_incomplete
forward_collection_outcome,forward_snapshot_not_started
input_id,manual_free_proxy_ndx_20260702
raw_file_name,EODHist_20230703-20260702_NDX.xlsx
raw_file_sha256,8ea462ee5448d2f1f2cbab7a19dfa8934d41204ca963b0ef9712b50f80fb52e1
raw_file_bytes,51885
normalization_run_id,norm_20260702T113715Z_c5b6788c
original_excel_rows,753
normalized_ndx_rows,752
excluded_rows,1
excluded_reason,Index Value missing nonnumeric or <= 0; 2026-07-02 zero row excluded
coverage_start,2023-07-03
coverage_end,2026-07-01
canonical_file_created,sources/benchmark_prices.csv
canonical_file_sha256,005717af54d31542ec9a41937db5fae7e82d6508519b57652d15bb30904f5ada
inspect_validation_status,blocked
validator_status,blocked
blocking_dataset,benchmark_mapping
ndx_exact_direction_possible,false
historical_run_created,false
raw_committed,false
network_used,false
actionization_allowed,false
