baseline_level,entry_timing,exit_timing,trades,top_ticker,top_ticker_trade_share,top5_return_share,research_only,execution_allowed,live_order_allowed,broker_integration_allowed,webull_integration_allowed,consumable_by_production,signal_scope
A_ADJUSTMENT_OLD_S_UNIVERSE,D0_CLOSE,D2_CLOSE,24,TER,0.4583333333333333,0.5845294941161117,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D0_CLOSE,D2_OPEN,24,TER,0.4583333333333333,0.6529168760610133,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D0_CLOSE,D3_CLOSE,24,TER,0.4583333333333333,0.6576484946103345,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D0_CLOSE,D3_OPEN,24,TER,0.4583333333333333,0.6109660294219216,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D1_CLOSE,D2_CLOSE,24,TER,0.4583333333333333,0.7080687710237488,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D1_CLOSE,D2_OPEN,24,TER,0.4583333333333333,0.7401121227874222,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D1_CLOSE,D3_CLOSE,24,TER,0.4583333333333333,0.504306349269807,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D1_CLOSE,D3_OPEN,24,TER,0.4583333333333333,0.554554730358868,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D2_OPEN,D2_CLOSE,24,TER,0.4583333333333333,0.5880821055939585,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D2_OPEN,D3_CLOSE,24,TER,0.4583333333333333,0.47330015645926676,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
A_ADJUSTMENT_OLD_S_UNIVERSE,D2_OPEN,D3_OPEN,24,TER,0.4583333333333333,0.5648020568946593,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D0_CLOSE,D2_CLOSE,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D0_CLOSE,D2_OPEN,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D0_CLOSE,D3_CLOSE,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D0_CLOSE,D3_OPEN,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D1_CLOSE,D2_CLOSE,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D1_CLOSE,D2_OPEN,4,MKSI,0.5,,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D1_CLOSE,D3_CLOSE,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D1_CLOSE,D3_OPEN,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D2_OPEN,D2_CLOSE,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D2_OPEN,D3_CLOSE,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
B_D0_ONLY,D2_OPEN,D3_OPEN,4,MKSI,0.5,1.0,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
