candidate_id,ticker,fundamental_filter_status,included_in_primary_clean_analysis,excluded_as_shock,reason,research_only,execution_allowed,live_order_allowed,broker_integration_allowed,webull_integration_allowed,consumable_by_production,signal_scope
NVDA_2024-05-31_2024-06-03,NVDA,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
WDC_2026-01-08_2026-01-09,WDC,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-02-18_2026-02-19,MKSI,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-03-02_2026-03-03,MKSI,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-03-03_2026-03-04,TER,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-03-12_2026-03-13,MKSI,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-03-13_2026-03-16,TER,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-03-23_2026-03-24,MKSI,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-03-23_2026-03-24,TER,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-04-02_2026-04-06,MKSI,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-04-02_2026-04-06,TER,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-04-27_2026-04-28,MKSI,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-04-28_2026-04-29,TER,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-05-08_2026-05-11,TER,AMBIGUOUS,False,False,No sealed point-in-time news/fundamental event audit source was found; cannot promote to CLEAN.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
