date,old_s_member_count,old_s_median_1d_return,old_s_median_2d_return,old_s_down_ratio,old_s_new_20d_low_count,old_s_median_close_location,old_s_median_sell_efficiency,pre60_vs_adjustment2d_corr,winner_q4_minus_laggard_q1_adjustment_return,degross_classification,classification_reason,research_only,execution_allowed,live_order_allowed,broker_integration_allowed,webull_integration_allowed,consumable_by_production,signal_scope
2024-02-06,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-07,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-08,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-09,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-12,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-13,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-14,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-15,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-16,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-20,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
2024-02-21,0,,,,0,,,,,UNKNOWN,price_cross_section_only_no_fundamental_confirmation,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
