candidate_id,ticker,D1_date,regime_classification,classification_reason,research_only,execution_allowed,live_order_allowed,broker_integration_allowed,webull_integration_allowed,consumable_by_production,signal_scope
NVDA_2024-05-31_2024-06-03,NVDA,2024-06-03,UNKNOWN,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
WDC_2026-01-08_2026-01-09,WDC,2026-01-09,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-02-18_2026-02-19,MKSI,2026-02-19,UNKNOWN,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-03-02_2026-03-03,MKSI,2026-03-03,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-03-03_2026-03-04,TER,2026-03-04,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-03-12_2026-03-13,MKSI,2026-03-13,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-03-13_2026-03-16,TER,2026-03-16,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-03-23_2026-03-24,MKSI,2026-03-24,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-03-23_2026-03-24,TER,2026-03-24,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-04-02_2026-04-06,MKSI,2026-04-06,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-04-02_2026-04-06,TER,2026-04-06,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-04-27_2026-04-28,MKSI,2026-04-28,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-04-28_2026-04-29,TER,2026-04-29,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-05-08_2026-05-11,TER,2026-05-11,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-05-15_2026-05-18,MKSI,2026-05-18,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
WDC_2026-05-15_2026-05-18,WDC,2026-05-18,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-05-18_2026-05-19,TER,2026-05-19,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-05-28_2026-05-29,TER,2026-05-29,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-06-01_2026-06-02,MKSI,2026-06-02,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-06-08_2026-06-09,TER,2026-06-09,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-06-23_2026-06-24,MKSI,2026-06-24,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-06-23_2026-06-24,TER,2026-06-24,DEGROSS_LIKELY,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
MKSI_2026-07-06_2026-07-07,MKSI,2026-07-07,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
TER_2026-07-06_2026-07-07,TER,2026-07-07,MIXED,Cross-sectional price-only classification; fundamental layer unavailable.,True,False,False,False,False,False,MORITA_FIRST_ABSORPTION_REVERSAL_V1_RESEARCH_ONLY
