candidate_id,signal_id,ticker,rank,signal_date,d0_date,d0_session_age,d0_condition_count,d0_conditions,construction_status,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
current_sa_2026-01-05_AA_A|D0_2026-01-14,current_sa_2026-01-05_AA_A,AA,A,2026-01-05,2026-01-14,7.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_AA_A|D0_2026-01-14,current_sa_2026-01-06_AA_A,AA,A,2026-01-06,2026-01-14,6.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-01_AA_A|D0_2026-04-15,current_sa_2026-04-01_AA_A,AA,A,2026-04-01,2026-04-15,9.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-03_AFRM_A|D0_2023-11-09,current_sa_2023-11-03_AFRM_A,AFRM,A,2023-11-03,2023-11-09,4.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-27_AFRM_S|D0_2023-12-06,current_sa_2023-11-27_AFRM_S,AFRM,S,2023-11-27,2023-12-06,7.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-28_AFRM_S|D0_2023-12-06,current_sa_2023-11-28_AFRM_S,AFRM,S,2023-11-28,2023-12-06,6.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-29_AFRM_S|D0_2023-12-06,current_sa_2023-11-29_AFRM_S,AFRM,S,2023-11-29,2023-12-06,5.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-01_AFRM_S|D0_2023-12-06,current_sa_2023-12-01_AFRM_S,AFRM,S,2023-12-01,2023-12-06,3.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-04_AFRM_A|D0_2023-12-06,current_sa_2023-12-04_AFRM_A,AFRM,A,2023-12-04,2023-12-06,2.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-08_AFRM_A|D0_2023-12-11,current_sa_2023-12-08_AFRM_A,AFRM,A,2023-12-08,2023-12-11,1.0,3,recent_close_drawdown|bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-13_AFRM_S|D0_2023-12-20,current_sa_2023-12-13_AFRM_S,AFRM,S,2023-12-13,2023-12-20,5.0,4,bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-14_AFRM_A|D0_2023-12-20,current_sa_2023-12-14_AFRM_A,AFRM,A,2023-12-14,2023-12-20,4.0,4,bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-19_AFRM_S|D0_2023-12-20,current_sa_2023-12-19_AFRM_S,AFRM,S,2023-12-19,2023-12-20,1.0,5,recent_close_drawdown|bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-02-08_AFRM_S|D0_2024-02-09,current_sa_2024-02-08_AFRM_S,AFRM,S,2024-02-08,2024-02-09,1.0,4,recent_close_drawdown|bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-11-18_AFRM_A|D0_2024-11-26,current_sa_2024-11-18_AFRM_A,AFRM,A,2024-11-18,2024-11-26,6.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-02-10_AFRM_A|D0_2025-02-19,current_sa_2025-02-10_AFRM_A,AFRM,A,2025-02-10,2025-02-19,6.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-07-31_ALAB_A|D0_2025-08-05,current_sa_2025-07-31_ALAB_A,ALAB,A,2025-07-31,2025-08-05,3.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-08-12_ALAB_A|D0_2025-08-19,current_sa_2025-08-12_ALAB_A,ALAB,A,2025-08-12,2025-08-19,5.0,3,recent_close_drawdown|bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-09-08_ALAB_S|D0_2025-09-24,current_sa_2025-09-08_ALAB_S,ALAB,S,2025-09-08,2025-09-24,12.0,3,recent_close_drawdown|bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-05-20_ALAB_S|D0_2026-06-01,current_sa_2026-05-20_ALAB_S,ALAB,S,2026-05-20,2026-06-01,7.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-18_ALAB_S|D0_2026-07-01,current_sa_2026-06-18_ALAB_S,ALAB,S,2026-06-18,2026-07-01,8.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-12-19_ALB_S|D0_2025-12-30,current_sa_2025-12-19_ALB_S,ALB,S,2025-12-19,2025-12-30,6.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_ALB_A|D0_2026-01-28,current_sa_2026-01-06_ALB_A,ALB,A,2026-01-06,2026-01-28,15.0,3,bearish_body|atr_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-16_ALB_S|D0_2026-04-17,current_sa_2026-04-16_ALB_S,ALB,S,2026-04-16,2026-04-17,1.0,4,recent_close_drawdown|bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-01-31_ALGM_S|D0_2023-02-27,current_sa_2023-01-31_ALGM_S,ALGM,S,2023-01-31,2023-02-27,18.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-01_ALGM_A|D0_2023-02-27,current_sa_2023-02-01_ALGM_A,ALGM,A,2023-02-01,2023-02-27,17.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-02_ALGM_S|D0_2023-02-27,current_sa_2023-02-02_ALGM_S,ALGM,S,2023-02-02,2023-02-27,16.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-07_ALGM_A|D0_2023-02-27,current_sa_2023-02-07_ALGM_A,ALGM,A,2023-02-07,2023-02-27,13.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-08-01_ALNY_A|D0_2024-08-07,current_sa_2024-08-01_ALNY_A,ALNY,A,2024-08-01,2024-08-07,4.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-08-18_ALNY_A|D0_2025-08-22,current_sa_2025-08-18_ALNY_A,ALNY,A,2025-08-18,2025-08-22,4.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-11_AMAT_A|D0_2026-06-16,current_sa_2026-06-11_AMAT_A,AMAT,A,2026-06-11,2026-06-16,3.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-15_AMAT_A|D0_2026-06-16,current_sa_2026-06-15_AMAT_A,AMAT,A,2026-06-15,2026-06-16,1.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-25_AMAT_A|D0_2026-06-26,current_sa_2026-06-25_AMAT_A,AMAT,A,2026-06-25,2026-06-26,1.0,4,recent_close_drawdown|bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-29_AMAT_A|D0_2026-07-01,current_sa_2026-06-29_AMAT_A,AMAT,A,2026-06-29,2026-07-01,2.0,4,recent_close_drawdown|bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-30_AMAT_A|D0_2026-07-01,current_sa_2026-06-30_AMAT_A,AMAT,A,2026-06-30,2026-07-01,1.0,4,recent_close_drawdown|bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-05-26_AMD_A|D0_2023-05-30,current_sa_2023-05-26_AMD_A,AMD,A,2023-05-26,2023-05-30,1.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-01-17_AMD_A|D0_2024-01-18,current_sa_2024-01-17_AMD_A,AMD,A,2024-01-17,2024-01-18,1.0,2,bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-01-18_AMD_A|D0_2024-01-22,current_sa_2024-01-18_AMD_A,AMD,A,2024-01-18,2024-01-22,2.0,2,bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-01-19_AMD_A|D0_2024-01-22,current_sa_2024-01-19_AMD_A,AMD,A,2024-01-19,2024-01-22,1.0,2,bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-01-24_AMD_A|D0_2024-01-30,current_sa_2024-01-24_AMD_A,AMD,A,2024-01-24,2024-01-30,4.0,2,bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-10-08_AMD_A|D0_2025-10-10,current_sa_2025-10-08_AMD_A,AMD,A,2025-10-08,2025-10-10,2.0,5,recent_close_drawdown|bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-05-08_AMD_A|D0_2026-05-15,current_sa_2026-05-08_AMD_A,AMD,A,2026-05-08,2026-05-15,5.0,3,recent_close_drawdown|bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-01-09_AMKR_A|D0_2023-01-10,current_sa_2023-01-09_AMKR_A,AMKR,A,2023-01-09,2023-01-10,1.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-12-02_AMKR_A|D0_2025-12-12,current_sa_2025-12-02_AMKR_A,AMKR,A,2025-12-02,2025-12-12,8.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-12-03_AMKR_A|D0_2025-12-12,current_sa_2025-12-03_AMKR_A,AMKR,A,2025-12-03,2025-12-12,7.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-12-10_AMKR_A|D0_2025-12-12,current_sa_2025-12-10_AMKR_A,AMKR,A,2025-12-10,2025-12-12,2.0,4,recent_close_drawdown|bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-05_AMKR_A|D0_2026-01-14,current_sa_2026-01-05_AMKR_A,AMKR,A,2026-01-05,2026-01-14,7.0,4,bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_AMKR_S|D0_2026-01-14,current_sa_2026-01-06_AMKR_S,AMKR,S,2026-01-06,2026-01-14,6.0,5,recent_close_drawdown|bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-24_AMKR_A|D0_2026-04-27,current_sa_2026-04-24_AMKR_A,AMKR,A,2026-04-24,2026-04-27,1.0,3,bearish_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-12_AMKR_A|D0_2026-06-16,current_sa_2026-06-12_AMKR_A,AMKR,A,2026-06-12,2026-06-16,2.0,2,weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-01_ANET_A|D0_2023-11-08,current_sa_2023-11-01_ANET_A,ANET,A,2023-11-01,2023-11-08,5.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-08-14_APP_A|D0_2023-08-22,current_sa_2023-08-14_APP_A,APP,A,2023-08-14,2023-08-22,6.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-09-18_APP_S|D0_2023-09-19,current_sa_2023-09-18_APP_S,APP,S,2023-09-18,2023-09-19,1.0,5,recent_close_drawdown|bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-19_APP_A|D0_2023-12-22,current_sa_2023-12-19_APP_A,APP,A,2023-12-19,2023-12-22,3.0,3,recent_close_drawdown|bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-01-23_APP_A|D0_2024-01-24,current_sa_2024-01-23_APP_A,APP,A,2024-01-23,2024-01-24,1.0,4,bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-01-29_APP_A|D0_2024-01-30,current_sa_2024-01-29_APP_A,APP,A,2024-01-29,2024-01-30,1.0,5,recent_close_drawdown|bearish_body|atr_body|weak_clv|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-02-16_APP_A|D0_2024-02-20,current_sa_2024-02-16_APP_A,APP,A,2024-02-16,2024-02-20,1.0,2,bearish_body|relative_volume,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-03-01_APP_A|D0_2024-03-11,current_sa_2024-03-01_APP_A,APP,A,2024-03-01,2024-03-11,6.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-03-18_APP_A|D0_2024-03-26,current_sa_2024-03-18_APP_A,APP,A,2024-03-18,2024-03-26,6.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-09-11_APP_A|D0_2024-10-17,current_sa_2024-09-11_APP_A,APP,A,2024-09-11,2024-10-17,26.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-09-12_APP_S|D0_2024-10-17,current_sa_2024-09-12_APP_S,APP,S,2024-09-12,2024-10-17,25.0,2,bearish_body|weak_clv,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
