candidate_id,ticker,rank,d0_date,d1_date,d1_open_available,construction_status,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
current_sa_2026-01-05_AA_A|D0_2026-01-14,AA,A,2026-01-14,2026-01-15,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_AA_A|D0_2026-01-14,AA,A,2026-01-14,2026-01-15,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-01_AA_A|D0_2026-04-15,AA,A,2026-04-15,2026-04-16,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-03_AFRM_A|D0_2023-11-09,AFRM,A,2023-11-09,2023-11-10,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-27_AFRM_S|D0_2023-12-06,AFRM,S,2023-12-06,2023-12-07,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-28_AFRM_S|D0_2023-12-06,AFRM,S,2023-12-06,2023-12-07,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-29_AFRM_S|D0_2023-12-06,AFRM,S,2023-12-06,2023-12-07,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-01_AFRM_S|D0_2023-12-06,AFRM,S,2023-12-06,2023-12-07,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-04_AFRM_A|D0_2023-12-06,AFRM,A,2023-12-06,2023-12-07,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-08_AFRM_A|D0_2023-12-11,AFRM,A,2023-12-11,2023-12-12,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-13_AFRM_S|D0_2023-12-20,AFRM,S,2023-12-20,2023-12-21,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-14_AFRM_A|D0_2023-12-20,AFRM,A,2023-12-20,2023-12-21,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-19_AFRM_S|D0_2023-12-20,AFRM,S,2023-12-20,2023-12-21,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-02-08_AFRM_S|D0_2024-02-09,AFRM,S,2024-02-09,2024-02-12,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-11-18_AFRM_A|D0_2024-11-26,AFRM,A,2024-11-26,2024-11-27,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-02-10_AFRM_A|D0_2025-02-19,AFRM,A,2025-02-19,2025-02-20,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-07-31_ALAB_A|D0_2025-08-05,ALAB,A,2025-08-05,2025-08-06,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-08-12_ALAB_A|D0_2025-08-19,ALAB,A,2025-08-19,2025-08-20,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-09-08_ALAB_S|D0_2025-09-24,ALAB,S,2025-09-24,2025-09-25,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-05-20_ALAB_S|D0_2026-06-01,ALAB,S,2026-06-01,2026-06-02,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-18_ALAB_S|D0_2026-07-01,ALAB,S,2026-07-01,2026-07-02,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-12-19_ALB_S|D0_2025-12-30,ALB,S,2025-12-30,2025-12-31,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_ALB_A|D0_2026-01-28,ALB,A,2026-01-28,2026-01-29,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-16_ALB_S|D0_2026-04-17,ALB,S,2026-04-17,2026-04-20,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-01-31_ALGM_S|D0_2023-02-27,ALGM,S,2023-02-27,2023-02-28,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-01_ALGM_A|D0_2023-02-27,ALGM,A,2023-02-27,2023-02-28,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-02_ALGM_S|D0_2023-02-27,ALGM,S,2023-02-27,2023-02-28,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-07_ALGM_A|D0_2023-02-27,ALGM,A,2023-02-27,2023-02-28,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-08-01_ALNY_A|D0_2024-08-07,ALNY,A,2024-08-07,2024-08-08,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-08-18_ALNY_A|D0_2025-08-22,ALNY,A,2025-08-22,2025-08-25,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-11_AMAT_A|D0_2026-06-16,AMAT,A,2026-06-16,2026-06-17,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-15_AMAT_A|D0_2026-06-16,AMAT,A,2026-06-16,2026-06-17,True,CANDIDATE_CONSTRUCTED,True,False,False,False,False,False,False,False,False,False,False
