signal_id,ticker,signal_date,rank,source_commit,source_run_id,source_file,source_row_number,duplicate_key,config_hash,universe_hash,daily_data_hash,duplicate_status,source_receipt_base_candidates,source_receipt_path,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
current_sa_2026-01-05_AA_A,AA,2026-01-05,A,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,2,AA|2026-01-05|A,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_AA_A,AA,2026-01-06,A,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,3,AA|2026-01-06|A,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-01_AA_A,AA,2026-04-01,A,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,4,AA|2026-04-01|A,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-03_AFRM_A,AFRM,2023-11-03,A,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,5,AFRM|2023-11-03|A,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-27_AFRM_S,AFRM,2023-11-27,S,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,6,AFRM|2023-11-27|S,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-28_AFRM_S,AFRM,2023-11-28,S,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,7,AFRM|2023-11-28|S,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-29_AFRM_S,AFRM,2023-11-29,S,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,8,AFRM|2023-11-29|S,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-01_AFRM_S,AFRM,2023-12-01,S,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,9,AFRM|2023-12-01|S,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-04_AFRM_A,AFRM,2023-12-04,A,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,10,AFRM|2023-12-04|A,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-08_AFRM_A,AFRM,2023-12-08,A,6ab4c7b04148bbef4036b7ec5e52d304b06a5473,morita_current_conditions_sa_rebuild_v1_latest,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_signal_calendar_latest.csv,11,AFRM|2023-12-08|A,a6073bc728df2bd64a040a451a588c7f8526790ba687ed32da2e274e83fb3b0a,381c5323f12ce0223c00235ebf33635a90c9aeb9f92508474066f6b73e96d568,0afa703c2509fbf5b5aa11a300586f6ce709841fa7fed2b9de2c77351da91438,UNIQUE,1147,C:\Users\keisu\Documents\Codex\2026-07-11\files-mentioned-by-the-user-morita\outputs\morita_current_conditions_sa_rebuild_v1_run_receipt_latest.json,True,False,False,False,False,False,False,False,False,False,False
