rank,entry,exit,episode_type,left_out_episode,n,independent_episode_n,win_rate,mean,median,gross_profit,gross_loss,profit_factor,expectancy,standard_error,bootstrap_ci_low,bootstrap_ci_high,max_drawdown,worst_trade,best_trade,top_1_contribution_share,top_3_contribution_share,top_5_contribution_share,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
S,Open,D1,ticker_episode,TE5_AFRM_0002,215,215,0.4697674418604651,0.0016138140870895436,-0.0032752317600981407,3.6392347576792314,-3.2922647289549807,1.1053894681289451,0.0016138140870895436,0.004434978252805463,-0.006015346944662777,0.010930583839194959,-0.5006160008818745,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_AFRM_0003,215,215,0.4697674418604651,0.0014699518356204727,-0.0032752317600981407,3.6392347576792314,-3.3231951130208306,1.095101140291193,0.0014699518356204727,0.004439135168592387,-0.006227543765579658,0.010718387018278078,-0.5006160008818743,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_AFRM_0004,215,215,0.4697674418604651,0.0015475399014003108,-0.0032752317600981407,3.6392347576792314,-3.3065136788781655,1.1006259495995647,0.0015475399014003108,0.004437478582781262,-0.006153835103088811,0.010832829415303342,-0.5006160008818745,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_ALAB_0003,215,215,0.4697674418604651,0.001608980908467439,-0.0032752317600981407,3.6392347576792314,-3.293303862358733,1.1050406855177752,0.001608980908467439,0.0044351944322118,-0.006124650624731925,0.010865085944013583,-0.5006160008818749,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_ALAB_0004,215,215,0.4697674418604651,0.0018285623211939856,-0.0032752317600981407,3.6392347576792314,-3.2460938586225256,1.121111993731301,0.0018285623211939856,0.004419981446389649,-0.005902777703344159,0.010991647519378069,-0.5006160008818749,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_ALAB_0005,215,215,0.46511627906976744,0.0011168536007391025,-0.0032964014840267675,3.5737483412749187,-3.333624817116012,1.0720307585082842,0.0011168536007391025,0.004429373108180988,-0.0064156462260931855,0.010615483849501199,-0.5006160008818743,-0.1855072742198547,0.7544296536459976,0.21110318399668238,0.2761222500776104,0.3357406032809734,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_ALB_0001,215,215,0.4697674418604651,0.0014270318635980995,-0.0032964014840267675,3.6392347576792314,-3.332422907005641,1.0920687017330815,0.0014270318635980995,0.004439463358289223,-0.006314996168454097,0.011094032180767288,-0.5006160008818745,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_ALB_0003,215,215,0.46511627906976744,0.0013935103008581768,-0.0032964014840267675,3.63322953180052,-3.333624817116012,1.089873555400185,0.0013935103008581768,0.004439428377882758,-0.006314996168454097,0.01107643336032883,-0.5006160008818746,-0.1855072742198547,0.7544296536459976,0.20764712139508695,0.27160173189359,0.33024404694833803,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_ALGM_0001,215,215,0.4697674418604651,0.0015013035819236595,-0.0032752317600981407,3.6392347576792314,-3.3164544875656454,1.0973269108090533,0.0015013035819236595,0.004438630672242482,-0.0062910985429254765,0.011181327676385081,-0.5006160008818743,-0.1855072742198547,0.7544296536459976,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,TE5_AMKR_0003,215,215,0.46511627906976744,0.0011349981417469672,-0.0032964014840267675,3.5776494175916094,-3.333624817116012,1.0732009790731964,0.0011349981417469672,0.0044305676056785055,-0.006644238003509334,0.010622711880115631,-0.5006160008818745,-0.1855072742198547,0.7544296536459976,0.21087299664869402,0.2758211658056321,0.3353745110334852,True,False,False,False,False,False,False,False,False,False,False
