rank,entry,exit,left_out_year,n,independent_episode_n,win_rate,mean,median,gross_profit,gross_loss,profit_factor,expectancy,standard_error,bootstrap_ci_low,bootstrap_ci_high,max_drawdown,worst_trade,best_trade,top_1_contribution_share,top_3_contribution_share,top_5_contribution_share,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
S,Open,D1,2023,228,228,0.4956140350877193,0.022877384152361267,-0.0008779217485014312,10.15335657686438,-4.937312990126012,2.0564539046177104,0.022877384152361267,0.0104053992152821,0.00488907399983875,0.04313546047686066,-0.8165711403631299,-0.1855072742198547,0.7544296536459976,0.07430347274171917,0.22291041822515748,0.3715173637085959,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,2024,218,218,0.481651376146789,0.024860246323579315,-0.0017364102449185514,9.377947574234312,-3.958413875694021,2.3691174972425273,0.024860246323579315,0.010693295993633747,0.006083336279370294,0.04594704285808019,-0.7310622014657742,-0.1855072742198547,0.7544296536459976,0.08044720315122843,0.24134160945368527,0.40223601575614215,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,2025,226,226,0.504424778761062,0.026964308592381477,0.000672591491233776,9.871090493251579,-3.7771567513733646,2.613365328209499,0.026964308592381477,0.01025413772972481,0.009084890513097115,0.04513846104357848,-0.6406023362094184,-0.13491300166127485,0.7544296536459976,0.0764281974885923,0.22928459246577684,0.3821409874429615,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,2026,249,249,0.4497991967871486,-0.009623570088593126,-0.006691160874457647,3.14053775194433,-5.536806704004018,0.5672110152722519,-0.009623570088593126,0.0030079231480475664,-0.015447568944302418,-0.003398014905417283,-0.9329814740520077,-0.1855072742198547,0.11923960956486956,0.03796789562266763,0.10123087059984516,0.1554336363875828,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,2023,370,370,0.5,0.0024325478484755886,3.5327513013161393e-05,6.531236963549978,-5.63119425961401,1.1598315849962635,0.0024325478484755886,0.003037318268287872,-0.003204557756694264,0.00907203244241878,-0.8239578328578763,-0.1855072742198547,0.7544296536459976,0.11551099092811602,0.15506010775994922,0.191092404745971,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,2024,359,359,0.4735376044568245,-1.7193496290553836e-05,-0.002271612975823234,5.860471164223603,-5.866643629391911,0.9989478711238938,-1.7193496290553836e-05,0.003106595917795825,-0.005472632943242064,0.006336743680597115,-0.8874324100051016,-0.1855072742198547,0.7544296536459976,0.12873191122440147,0.17227122699008296,0.20972414906021666,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,2025,359,359,0.4958217270194986,0.005129271197228157,-0.0004939007238605742,6.508923509972147,-4.6675151501672385,1.3945157756454054,0.005129271197228157,0.0028790371050747042,-5.4612736771073945e-05,0.011718262112158876,-0.6862327762030922,-0.11532195142960733,0.7544296536459976,0.11590697793423999,0.1525457890624352,0.18771704393603347,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,2026,403,403,0.47890818858560796,-3.470778450660439e-05,-0.0019495689071211686,5.908960756764966,-5.922947993921128,0.9976384669981033,-3.470778450660439e-05,0.0020679462642826385,-0.0038400672873888913,0.003845765493603328,-0.7971225931719447,-0.1855072742198547,0.13906504416295595,0.02353460276474931,0.06389351340004376,0.09935521421013442,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,2023,598,598,0.4983277591973244,0.010227569047950396,-0.0001442249004657281,16.68459354041436,-10.568507249740023,1.5787086242311836,0.010227569047950396,0.004403373793324793,0.0014042346131475534,0.018869986756850792,-0.9464890380046881,-0.1855072742198547,0.7544296536459976,0.04521714309782708,0.13565142929348123,0.22608571548913542,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,2024,577,577,0.47660311958405543,0.0093819085500381,-0.0019495689071211686,15.238418738457916,-9.825057505085931,1.5509750177614496,0.0093819085500381,0.004501154097995123,0.000848703333601063,0.01881781029587758,-0.9449617288382429,-0.1855072742198547,0.7544296536459976,0.04950839497158638,0.14852518491475913,0.24754197485793192,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,2025,585,585,0.49914529914529915,0.013564687353304484,-0.0002884498009314562,16.380014003223724,-8.444671901540602,1.939686253557754,0.013564687353304484,0.0043545338716282226,0.005607618245888786,0.02214788775581746,-0.787685701230641,-0.13491300166127485,0.7544296536459976,0.04605793703824181,0.13817381111472543,0.2302896851912091,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,2026,652,652,0.4677914110429448,-0.0036967119466500774,-0.002613440552231061,9.049498508709297,-11.459754697925147,0.7896764588117893,-0.0036967119466500774,0.0017268096599246411,-0.006724043829626333,-6.646938416980329e-05,-0.9581692135605182,-0.1855072742198547,0.13906504416295595,0.01536715476875529,0.041719909996044975,0.06739666759032872,True,False,False,False,False,False,False,False,False,False,False
