column,present,required,non_null,dtype,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
account_data_access_allowed,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
alert_rank,True,True,813,str,True,False,False,False,False,False,False,False,False,False,False
avg_volume_50d,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
breakout_excess_pct,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
close,True,True,813,float64,True,False,False,False,False,False,False,False,False,False,False
data_source,True,True,813,str,True,False,False,False,False,False,False,False,False,False,False
decision_date,True,True,813,str,True,False,False,False,False,False,False,False,False,False,False
decision_timestamp_et,True,False,813,str,True,False,False,False,False,False,False,False,False,False,False
exclusion_reason,True,False,0,float64,True,False,False,False,False,False,False,False,False,False,False
execution_allowed,True,True,813,bool,True,False,False,False,False,False,False,False,False,False,False
future_information_allowed,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
gap_pct,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
live_order_allowed,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
method,True,False,813,str,True,False,False,False,False,False,False,False,False,False,False
options_modeled,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
order_preview_allowed,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
performance_calculated,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
pit_note,True,False,813,str,True,False,False,False,False,False,False,False,False,False,False
prior_20d_high,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
production_adjusted_score,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
production_code_changed,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
production_live_score,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
research_only,True,True,813,bool,True,False,False,False,False,False,False,False,False,False,False
signal_id,True,True,813,str,True,False,False,False,False,False,False,False,False,False,False
signal_scope,True,False,813,str,True,False,False,False,False,False,False,False,False,False,False
standard_rs_raw,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
standard_rs_score,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
threshold_optimization_allowed,True,False,813,bool,True,False,False,False,False,False,False,False,False,False,False
ticker,True,True,813,str,True,False,False,False,False,False,False,False,False,False,False
volume,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
volume_multiple,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
volume_penalty,True,False,813,float64,True,False,False,False,False,False,False,False,False,False,False
normalized_rank_values,True,True,A|S,derived,True,False,False,False,False,False,False,False,False,False,False
