candidate_id,ticker,d0_date,rank,ticker_episode_window,ticker_episode_id,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
current_sa_2026-01-05_AA_A|D0_2026-01-14,AA,2026-01-14,A,3,TE3_AA_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_AA_A|D0_2026-01-14,AA,2026-01-14,A,3,TE3_AA_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-01_AA_A|D0_2026-04-15,AA,2026-04-15,A,3,TE3_AA_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-03_AFRM_A|D0_2023-11-09,AFRM,2023-11-09,A,3,TE3_AFRM_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-27_AFRM_S|D0_2023-12-06,AFRM,2023-12-06,S,3,TE3_AFRM_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-28_AFRM_S|D0_2023-12-06,AFRM,2023-12-06,S,3,TE3_AFRM_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-11-29_AFRM_S|D0_2023-12-06,AFRM,2023-12-06,S,3,TE3_AFRM_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-01_AFRM_S|D0_2023-12-06,AFRM,2023-12-06,S,3,TE3_AFRM_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-04_AFRM_A|D0_2023-12-06,AFRM,2023-12-06,A,3,TE3_AFRM_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-08_AFRM_A|D0_2023-12-11,AFRM,2023-12-11,A,3,TE3_AFRM_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-13_AFRM_S|D0_2023-12-20,AFRM,2023-12-20,S,3,TE3_AFRM_0003,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-14_AFRM_A|D0_2023-12-20,AFRM,2023-12-20,A,3,TE3_AFRM_0003,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-12-19_AFRM_S|D0_2023-12-20,AFRM,2023-12-20,S,3,TE3_AFRM_0003,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-02-08_AFRM_S|D0_2024-02-09,AFRM,2024-02-09,S,3,TE3_AFRM_0004,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-11-18_AFRM_A|D0_2024-11-26,AFRM,2024-11-26,A,3,TE3_AFRM_0005,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-02-10_AFRM_A|D0_2025-02-19,AFRM,2025-02-19,A,3,TE3_AFRM_0006,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-07-31_ALAB_A|D0_2025-08-05,ALAB,2025-08-05,A,3,TE3_ALAB_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-08-12_ALAB_A|D0_2025-08-19,ALAB,2025-08-19,A,3,TE3_ALAB_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-09-08_ALAB_S|D0_2025-09-24,ALAB,2025-09-24,S,3,TE3_ALAB_0003,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-05-20_ALAB_S|D0_2026-06-01,ALAB,2026-06-01,S,3,TE3_ALAB_0004,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-18_ALAB_S|D0_2026-07-01,ALAB,2026-07-01,S,3,TE3_ALAB_0005,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-12-19_ALB_S|D0_2025-12-30,ALB,2025-12-30,S,3,TE3_ALB_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-01-06_ALB_A|D0_2026-01-28,ALB,2026-01-28,A,3,TE3_ALB_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-04-16_ALB_S|D0_2026-04-17,ALB,2026-04-17,S,3,TE3_ALB_0003,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-01-31_ALGM_S|D0_2023-02-27,ALGM,2023-02-27,S,3,TE3_ALGM_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-01_ALGM_A|D0_2023-02-27,ALGM,2023-02-27,A,3,TE3_ALGM_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-02_ALGM_S|D0_2023-02-27,ALGM,2023-02-27,S,3,TE3_ALGM_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2023-02-07_ALGM_A|D0_2023-02-27,ALGM,2023-02-27,A,3,TE3_ALGM_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2024-08-01_ALNY_A|D0_2024-08-07,ALNY,2024-08-07,A,3,TE3_ALNY_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2025-08-18_ALNY_A|D0_2025-08-22,ALNY,2025-08-22,A,3,TE3_ALNY_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-11_AMAT_A|D0_2026-06-16,AMAT,2026-06-16,A,3,TE3_AMAT_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-15_AMAT_A|D0_2026-06-16,AMAT,2026-06-16,A,3,TE3_AMAT_0001,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-25_AMAT_A|D0_2026-06-26,AMAT,2026-06-26,A,3,TE3_AMAT_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-29_AMAT_A|D0_2026-07-01,AMAT,2026-07-01,A,3,TE3_AMAT_0002,True,False,False,False,False,False,False,False,False,False,False
current_sa_2026-06-30_AMAT_A|D0_2026-07-01,AMAT,2026-07-01,A,3,TE3_AMAT_0002,True,False,False,False,False,False,False,False,False,False,False
