scenario,rank,entry,exit,level,excluded_tickers,excluded_ticker_episodes,excluded_market_episodes,n,profit_factor,mean,median,win_rate,gross_profit,gross_loss,max_drawdown,market_episode_count,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
baseline,S,Open,D1,candidate,,,,307,1.787121682042678,0.015562694978389992,-0.001938765344887683,0.4820846905537459,10.8476441320982,-6.069896773732472,-0.8435856045994521,29,True,False,False,False,False,False,False,False,False,False,False
baseline,S,Open,D1,market_episode,,,,29,1.4918027554423428,0.005182412109715631,0.0018315252598683311,0.5172413793103449,0.4558798437120986,-0.30558989253034535,-0.12900409408356395,29,True,False,False,False,False,False,False,False,False,False,False
baseline,S,09:45,D1,candidate,,,,16,2.321894222849635,0.011741259512950956,0.0077935731481604265,0.625,0.3299745127664446,-0.14211436055922932,-0.08281139707970642,4,True,False,False,False,False,False,False,False,False,False,False
baseline,S,09:45,D1,market_episode,,,,4,inf,0.015743207400883606,0.013789225848830966,1.0,0.06297282960353442,0.0,0.0,4,True,False,False,False,False,False,False,False,False,False,False
baseline,A,Open,D1,candidate,,,,497,1.1232005737942077,0.0018251451116139542,-0.0015178496337551195,0.4869215291750503,8.269864131503565,-7.36276701103143,-0.8897879878406273,33,True,False,False,False,False,False,False,False,False,False,False
baseline,A,Open,D1,market_episode,,,,33,1.0065621176395692,5.2103753489088146e-05,0.006110671458530531,0.6060606060606061,0.2637421365900506,-0.2620227127249107,-0.1344857690374338,33,True,False,False,False,False,False,False,False,False,False,False
baseline,A,09:45,D1,candidate,,,,41,1.2724367289403944,0.0039052696678814683,-0.004430256793318432,0.4146341463414634,0.7478343754434584,-0.5877183190603182,-0.29896937838970106,4,True,False,False,False,False,False,False,False,False,False,False
baseline,A,09:45,D1,market_episode,,,,4,0.8935808674281214,-0.0007704268831850453,-0.006842551519531383,0.25,0.02587650193827485,-0.02895820947101503,-0.027723219434535373,4,True,False,False,False,False,False,False,False,False,False,False
baseline,S+A,Open,D1,candidate,,,,804,1.423210509093955,0.007070702088106795,-0.0017364102449185514,0.48507462686567165,19.117508263601767,-13.432663784763902,-0.964097960519765,35,True,False,False,False,False,False,False,False,False,False,False
baseline,S+A,Open,D1,market_episode,,,,35,1.3254133958346932,0.0025809748074681594,0.00476274249816111,0.5714285714285714,0.36793215023445913,-0.27759803197307353,-0.11235203235522861,35,True,False,False,False,False,False,False,False,False,False,False
baseline,S+A,09:45,D1,candidate,,,,57,1.4767890206995815,0.006104845764743079,-0.004430256793318432,0.47368421052631576,1.077808888209903,-0.7298326796195476,-0.2522413001022916,4,True,False,False,False,False,False,False,False,False,False,False
baseline,S+A,09:45,D1,market_episode,,,,4,2.444566916772187,0.003645342975747895,-0.0004454469940611305,0.5,0.024675311985444065,-0.010093940082452485,-0.01008059213073198,4,True,False,False,False,False,False,False,False,False,False,False
exclude CAR,S,Open,D1,candidate,CAR,,,296,0.6559172927636107,-0.007055900386997615,-0.004033480059704386,0.46283783783783783,3.981350259181178,-6.069896773732472,-0.9325491591232284,29,True,False,False,False,False,False,False,False,False,False,False
