rank,entry_comparison,exit,level,paired_n,mean_difference,median_difference,open_pf,entry_pf,pf_difference,wins,losses,ties,sign_test_p,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
S,09:45_minus_Open,D1,candidate,16,-0.006516534097952019,-0.005058286866820361,2.592299615339067,2.321894222849635,-0.27040539248943185,5,11,0,0.210113525390625,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D1,ticker_episode,14,-0.006367137997413679,-0.008974484963862883,2.890708046346512,2.734487976957951,-0.15622006938856092,5,9,0,0.4239501953125,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D1,market_episode,4,-0.051006154294157224,-0.01940775199282683,48.16199497127464,inf,,1,3,0,0.625,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D1,weakest_selected,4,-0.017220930254580324,-0.008113950163261274,8.876857933121792,1.0679931881776898,-7.808864744944103,2,2,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,candidate,16,-0.008914953376920165,-0.006469473486051425,2.592299615339067,2.2516414520214267,-0.3406581633176402,6,10,0,0.454498291015625,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,ticker_episode,14,-0.009596131818541973,-0.006469473486051425,2.890708046346512,2.786925232130292,-0.10378281421622004,5,9,0,0.4239501953125,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,market_episode,4,-0.05737334992492531,-0.018783788349945544,48.16199497127464,16.66606191289505,-31.49593305837959,1,3,0,0.625,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,weakest_selected,4,-0.016729563281335513,-0.01076859890366566,8.876857933121792,1.1728421355432612,-7.704015797578531,2,2,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,candidate,16,-0.015180987445147669,-0.009220872821575243,2.592299615339067,1.4564894197290899,-1.135810195609977,8,8,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,ticker_episode,14,-0.017965825589541934,-0.012680665328667545,2.890708046346512,1.366033376337652,-1.52467467000886,6,8,0,0.79052734375,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,market_episode,4,-0.05911933323407436,-0.023262314013571955,48.16199497127464,5.480724049733549,-42.681270921541085,1,3,0,0.625,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,weakest_selected,4,-0.01446962265818752,-0.010671468906121806,8.876857933121792,1.598267802128483,-7.27859013099331,1,3,0,0.625,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,candidate,16,-0.006968794891366488,-0.005232251516081088,2.33054948568084,2.1419646911057657,-0.18858479457507427,5,11,0,0.210113525390625,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,ticker_episode,14,-0.00674678661591122,-0.008783512219992351,2.285621117885248,2.108266831018196,-0.17735428686705212,5,9,0,0.4239501953125,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,market_episode,4,-0.0616224863547019,-0.028515579572121176,11.458574396257724,3.328146062279076,-8.130428333978648,1,3,0,0.625,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,weakest_selected,4,0.034699198396775405,-0.010324723311776307,4.034859970422723,4.718753356809928,0.6838933863872052,2,2,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,candidate,16,-0.00932415320019147,-0.007170861052704258,2.33054948568084,1.9659021776780345,-0.3646473080028054,6,10,0,0.454498291015625,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,ticker_episode,14,-0.009938407718917606,-0.0076620483473626155,2.285621117885248,1.87555261976863,-0.41006849811661805,5,9,0,0.4239501953125,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,market_episode,4,-0.06802411281277586,-0.027663810155186878,11.458574396257724,2.5757172292111377,-8.882857167046586,0,4,0,0.125,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,weakest_selected,4,0.03450488526792589,-0.01224005568142833,4.034859970422723,5.390244499265468,1.3553845288427455,2,2,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,candidate,16,-0.01540018587795023,-0.010876463371726375,2.33054948568084,1.5326024768908062,-0.7979470087900338,8,8,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,ticker_episode,14,-0.018137184134913092,-0.015332826801154553,2.285621117885248,1.3839424202967197,-0.9016786975885285,6,8,0,0.79052734375,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,market_episode,4,-0.06990623973477214,-0.03185570336164386,11.458574396257724,2.3071670924033363,-9.151407303854388,0,4,0,0.125,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,weakest_selected,4,0.03639388657529821,-0.006281398575637254,4.034859970422723,6.224874657644203,2.1900146872214803,2,2,0,1.0,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D3,candidate,15,-0.003900906445404358,-0.003797838163170697,0.6014686525168333,0.5231259374079338,-0.07834271510889956,5,10,0,0.3017578125,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D3,ticker_episode,13,-0.0031349540506553876,-0.0062892653776812635,0.49600092118569544,0.4434940049555535,-0.05250691623014192,5,8,0,0.5810546875,True,False,False,False,False,False,False,False,False,False,False
