rank,entry_comparison,exit,level,bootstrap_samples,cluster_count,mean_diff_ci_low,mean_diff_ci_high,median_diff_ci_low,median_diff_ci_high,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
S,09:45_minus_Open,D1,candidate,500,4,-0.021230266486689145,0.012686672717152375,-0.03717479755059583,0.02094689722407328,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D1,ticker_episode,500,4,-0.024279095133046172,0.012686672717152375,-0.03196028261274744,0.02094689722407328,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D1,market_episode,500,4,-0.13825743505310273,0.006028669949458845,-0.18257404832557597,0.017364935134600728,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D1,weakest_selected,500,4,-0.058221406065071146,0.025195869721829106,-0.07926801457954646,0.026612193887747715,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,candidate,500,4,-0.026622285508222376,0.003993815864386673,-0.028386476124874882,0.006849278317543561,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,ticker_episode,500,4,-0.02887158268706301,0.0033624078260865546,-0.03303007366821051,0.006849278317543561,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,market_episode,500,4,-0.14731190317597048,-0.000200439396083748,-0.19519313922788115,0.0032673162280710084,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D1,weakest_selected,500,4,-0.04081149222834202,0.007603909339734705,-0.05323650833180915,0.007855453013798419,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,candidate,500,4,-0.02558913368623067,0.0011528008111537829,-0.020201468836013037,0.009974693829840287,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,ticker_episode,500,4,-0.03026620580161065,0.0010146730904913122,-0.03466702247566569,0.009974693829840287,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,market_episode,500,4,-0.15122003934041967,-0.002875646348231466,-0.19634543664952125,0.006392731740367734,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D1,weakest_selected,500,4,-0.03516805223181771,0.005875608795101593,-0.046510246650346754,0.009974693829840287,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,candidate,500,4,-0.02346920420322759,0.012239360311586733,-0.04060380171449873,0.01995435509094612,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,ticker_episode,500,4,-0.02695062938465055,0.012239360311586733,-0.03548762021248131,0.01995435509094612,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,market_episode,500,4,-0.1487415741797603,-0.007610305312224223,-0.18967495071997265,0.00021616444540739632,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D2,weakest_selected,500,4,-0.06998457291146931,0.19909727701205712,-0.09936534410843989,0.2588115843190941,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,candidate,500,4,-0.028108990180658842,0.0039814089754021615,-0.031004845322400332,0.0065247339595436715,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,ticker_episode,500,4,-0.03070027422360149,0.00338266088172616,-0.036614500885949586,0.0065247339595436715,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,market_episode,500,4,-0.15864045256862835,-0.017768075714512364,-0.20355537425473463,-0.01321345668599505,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D2,weakest_selected,500,4,-0.053146100276766084,0.17828320658245808,-0.073036378355536,0.23553603079009622,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,candidate,500,4,-0.027638875153585485,0.0003995190935387376,-0.023275553528997905,0.009502055625467909,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,ticker_episode,500,4,-0.032883765086488236,0.0003995190935387376,-0.03885943967072769,0.009502055625467909,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,market_episode,500,4,-0.16135047784802808,-0.014769516216283661,-0.20567741719573002,-0.010236135020070813,True,False,False,False,False,False,False,False,False,False,False
S,10:30_minus_Open,D2,weakest_selected,500,4,-0.04729942834273407,0.17065421374481854,-0.06623325633213473,0.22437159978460208,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D3,candidate,500,4,-0.017343269494075268,0.01336400095366419,-0.023049688133255364,0.021345763708713772,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D3,ticker_episode,500,4,-0.017515597859301672,0.01336400095366419,-0.023049688133255364,0.021345763708713772,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D3,market_episode,500,4,-0.24926300112646851,0.03238058641296329,-0.3246674387908729,0.05085734459503617,True,False,False,False,False,False,False,False,False,False,False
S,09:45_minus_Open,D3,weakest_selected,500,4,-0.06790447862781729,0.10930206913720442,-0.09350741915229455,0.13862083761336796,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D3,candidate,500,4,-0.022370694258577045,0.004521741622898479,-0.02145497269157165,0.006979700858677829,True,False,False,False,False,False,False,False,False,False,False
S,10:00_minus_Open,D3,ticker_episode,500,4,-0.022370694258577045,0.00397162192306132,-0.02145497269157165,0.006979700858677829,True,False,False,False,False,False,False,False,False,False,False
