rank,entry,exit,level,n,profit_factor,mean,median,negative_frequency,positive_tail_count,gain_loss_asymmetry,q05,q25,q75,q95,expected_shortfall_5pct,top_1_positive_share,top_3_positive_share,top_5_positive_share,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
S,Open,D1,candidate,307,1.787121682042678,0.015562694978389992,-0.001938765344887683,0.5179153094462541,148,1.91994829354585,-0.08522642259330715,-0.026291282675328376,0.020835877313569062,0.08526992019578056,-0.12056253936284556,0.06954778793061978,0.2086433637918593,0.3477389396530989,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,ticker_episode,216,1.0916749656392373,0.0014148608359408324,-0.003285816622062454,0.5324074074074074,101,1.2429962480050722,-0.06904357754772342,-0.02301984738479851,0.018123343720326812,0.06800688319418435,-0.09313251139469529,0.20730447577036862,0.27115355257632323,0.32969909993912416,True,False,False,False,False,False,False,False,False,False,False
S,Open,D1,market_episode,29,1.4918027554423428,0.005182412109715631,0.0018315252598683311,0.4827586206896552,15,1.3923492384128533,-0.04048328999599155,-0.020421382213573206,0.015488852719633517,0.04148324478489611,-0.05187484623156402,0.4699562868816319,0.6432843214583708,0.7479420456623513,True,False,False,False,False,False,False,False,False,False,False
S,09:45,D1,candidate,16,2.321894222849635,0.011741259512950956,0.0077935731481604265,0.375,10,1.393136533709781,-0.03613151126239303,-0.01229812056641405,0.03291329855008368,0.07447424574410999,-0.05771188626059376,0.2890897755802906,0.6212616319104602,0.8242807404902868,True,False,False,False,False,False,False,False,False,False,False
S,09:45,D1,ticker_episode,14,2.734487976957951,0.0141703844268936,0.0077935731481604265,0.35714285714285715,9,1.519159987198862,-0.03684888471735654,-0.010912501166482763,0.0340778328858225,0.07726331402394428,-0.05771188626059376,0.30499922498604565,0.655451462667277,0.8696433020359003,True,False,False,False,False,False,False,False,False,False,False
S,09:45,D1,market_episode,4,inf,0.015743207400883606,0.013789225848830966,0.0,4,,0.00492165114648563,0.00970894526710036,0.019823487982614213,0.029300337828155276,0.003724827616331947,0.5029081667272429,0.9408502422428405,1.0,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,candidate,497,1.1232005737942077,0.0018251451116139542,-0.0015178496337551195,0.5110663983903421,242,1.178896470015408,-0.05851986256633457,-0.020982001317450982,0.023334109392185276,0.065729724910486,-0.0969256059021821,0.09122636619530927,0.12246081571230061,0.15091780922688802,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,ticker_episode,353,1.183854720184755,0.0025012524121553904,-0.0018911568039361448,0.5127478753541076,171,1.2530859903709977,-0.053454513145065594,-0.019774031999058583,0.021556128318952705,0.06436920555083787,-0.08307142109887268,0.13269754821886273,0.17813106753713748,0.21673774155501546,True,False,False,False,False,False,False,False,False,False,False
A,Open,D1,market_episode,33,1.0065621176395692,5.2103753489088146e-05,0.006110671458530531,0.3939393939393939,20,0.65426537646572,-0.028991704379670444,-0.01749644328949954,0.011863049344898888,0.024572244818349284,-0.04203616961716744,0.14373299728436892,0.3414333076986851,0.47544265148882103,True,False,False,False,False,False,False,False,False,False,False
A,09:45,D1,candidate,41,1.2724367289403944,0.0039052696678814683,-0.004430256793318432,0.5853658536585366,17,1.7963812643864392,-0.059915947499082245,-0.02062282170159102,0.03233103138221427,0.07554545454545458,-0.06793183906801632,0.1448542102253325,0.37555526320324956,0.5543392877639282,True,False,False,False,False,False,False,False,False,False,False
A,09:45,D1,ticker_episode,27,1.2496609514756623,0.00328177114467047,-0.004430256793318432,0.5555555555555556,12,1.5620761893445776,-0.06181633414197153,-0.01482872890645881,0.02655407310658886,0.06987899152554747,-0.07193978485248337,0.21866122885483896,0.5167370075900126,0.7127498102935692,True,False,False,False,False,False,False,False,False,False,False
A,09:45,D1,market_episode,4,0.8935808674281214,-0.0007704268831850453,-0.006842551519531383,0.75,1,2.680742602284364,-0.014878622590868603,-0.013300687226533945,0.005687708823817516,0.021838743315383373,-0.015273106431952269,1.0,1.0,1.0,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,candidate,804,1.423210509093955,0.007070702088106795,-0.0017364102449185514,0.513681592039801,390,1.5071434365533423,-0.07011175273975612,-0.023311022321749808,0.02188012017505442,0.07111218793981446,-0.1089767332003422,0.03946276069263547,0.1183882820779064,0.19731380346317737,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,ticker_episode,477,1.1001752359124894,0.001321576585579989,-0.0021453509529225645,0.5241090146750524,226,1.2170080043279752,-0.0571801814500333,-0.020209231871296973,0.01826215648716145,0.0651335277930908,-0.07722974817645718,0.10896989804616444,0.14627944923564967,0.1789161700126124,True,False,False,False,False,False,False,False,False,False,False
S+A,Open,D1,market_episode,35,1.3254133958346932,0.0025809748074681594,0.00476274249816111,0.42857142857142855,20,0.99406004687602,-0.033910920383138934,-0.011559175433449254,0.011433121515502395,0.03719877932349836,-0.044664310998120155,0.3048462877067715,0.5081530208757614,0.6055364029499682,True,False,False,False,False,False,False,False,False,False,False
S+A,09:45,D1,candidate,57,1.4767890206995815,0.006104845764743079,-0.004430256793318432,0.5263157894736842,27,1.6408766896662017,-0.05815269850829145,-0.02062282170159102,0.03233103138221427,0.07951481520493703,-0.06793183906801632,0.10050664734648238,0.27899189020322607,0.4191752851851055,True,False,False,False,False,False,False,False,False,False,False
S+A,09:45,D1,ticker_episode,32,1.3228159846455472,0.004016104930187938,0.0005945750829863955,0.5,16,1.3228159846455472,-0.06289351716208298,-0.01302753599904824,0.03291329855008368,0.06594203203075798,-0.07193978485248337,0.1841560479985833,0.4379054303018445,0.6306170053243063,True,False,False,False,False,False,False,False,False,False,False
S+A,09:45,D1,market_episode,4,2.444566916772187,0.003645342975747895,-0.0004454469940611305,0.5,2,2.444566916772187,-0.007484332937772094,-0.0033059965436934916,0.006505892525380256,0.02050212484700051,-0.008528917036291744,0.9726800188611132,1.0,1.0,True,False,False,False,False,False,False,False,False,False,False
