entry,exit,weighting,rank,n,profit_factor,mean,median,win_rate,gross_profit,gross_loss,max_drawdown,market_episode_count,research_only,execution_allowed,live_order_allowed,order_preview_allowed,broker_account_access_allowed,positions_access_allowed,balance_access_allowed,threshold_optimization_allowed,future_information_allowed,synthetic_intraday_data_allowed,consumable_by_production
Open,D1,candidate,S,307,1.787121682042678,0.015562694978389992,-0.001938765344887683,0.4820846905537459,10.8476441320982,-6.069896773732472,-0.8435856045994521,29,True,False,False,False,False,False,False,False,False,False,False
Open,D1,candidate,A,497,1.1232005737942077,0.0018251451116139542,-0.0015178496337551195,0.4869215291750503,8.269864131503565,-7.36276701103143,-0.8897879878406273,33,True,False,False,False,False,False,False,False,False,False,False
Open,D1,ticker_episode,S,216,1.0916749656392373,0.0014148608359408324,-0.003285816622062454,0.4675925925925926,3.6392347576792314,-3.333624817116012,-0.5006160008818747,29,True,False,False,False,False,False,False,False,False,False,False
Open,D1,ticker_episode,A,353,1.183854720184755,0.0025012524121553904,-0.0018911568039361448,0.48441926345609065,5.6853322745774495,-4.8023901730865965,-0.7125374872604344,33,True,False,False,False,False,False,False,False,False,False,False
Open,D1,market_episode,S,29,1.4918027554423428,0.005182412109715631,0.0018315252598683311,0.5172413793103449,0.4558798437120986,-0.30558989253034535,-0.12900409408356395,29,True,False,False,False,False,False,False,False,False,False,False
Open,D1,market_episode,A,33,1.0065621176395692,5.2103753489088146e-05,0.006110671458530531,0.6060606060606061,0.2637421365900506,-0.2620227127249107,-0.1344857690374338,33,True,False,False,False,False,False,False,False,False,False,False
Open,D1,weakest_selected,S,29,1.623684430414707,0.007174723190587513,0.009397813384961928,0.6551724137931034,0.541676346723998,-0.33360937419696013,-0.15898790568390897,29,True,False,False,False,False,False,False,False,False,False,False
Open,D1,weakest_selected,A,33,0.5453363222038942,-0.007465277360041009,-0.007850191120715944,0.3333333333333333,0.2954840561339509,-0.5418382090153042,-0.2371391632436638,33,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,candidate,S,16,2.321894222849635,0.011741259512950956,0.0077935731481604265,0.625,0.3299745127664446,-0.14211436055922932,-0.08281139707970642,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,candidate,A,41,1.2724367289403944,0.0039052696678814683,-0.004430256793318432,0.4146341463414634,0.7478343754434584,-0.5877183190603182,-0.29896937838970106,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,ticker_episode,S,14,2.734487976957951,0.0141703844268936,0.0077935731481604265,0.6428571428571429,0.3127622958623308,-0.11437691388582039,-0.0702293309756995,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,ticker_episode,A,27,1.2496609514756623,0.00328177114467047,-0.004430256793318432,0.4444444444444444,0.44352043492271837,-0.35491261401661567,-0.20230641012226303,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,market_episode,S,4,inf,0.015743207400883606,0.013789225848830966,1.0,0.06297282960353442,0.0,0.0,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,market_episode,A,4,0.8935808674281214,-0.0007704268831850453,-0.006842551519531383,0.25,0.02587650193827485,-0.02895820947101503,-0.027723219434535373,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,weakest_selected,S,4,1.0679931881776898,0.0009810037856514964,0.014652435010492737,0.75,0.061635901403199744,-0.05771188626059376,0.0,4,True,False,False,False,False,False,False,False,False,False,False
09:45,D1,weakest_selected,A,4,20.058362027609522,0.021108359460584786,0.02201734126645205,0.75,0.08886369463565758,-0.004430256793318432,0.0,4,True,False,False,False,False,False,False,False,False,False,False
