event_id,event_type,event_start,event_end_for_analysis,event_selected_as_of,selection_rule,SOXX_drawdown,S_cohort_drawdown,negative_breadth,cross_sectional_correlation,dispersion_state,dominant_cluster,news_contamination,company_specific_contamination,independence_weight,reset_completed,future_safe,research_only,execution_allowed,live_order_allowed,broker_access_allowed,account_access_allowed,consumable_by_production,production_eligible,options_modeled,thresholds_optimized,future_information_allowed,signal_scope
EP000001,INSUFFICIENT_DATA,,,,prior_v1_1_absorption_episode,,,,,,OTHER,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000002,INSUFFICIENT_DATA,,,,prior_v1_1_absorption_episode,,,,,,OTHER,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000003,CLUSTER_DEGROSSING,,,,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000004,CLUSTER_DEGROSSING,2025-08-01,2025-08-01,2025-08-01,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,1.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000005,CLUSTER_DEGROSSING,2025-08-04,2025-08-04,2025-08-04,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000006,CLUSTER_DEGROSSING,2025-08-05,2025-08-05,2025-08-05,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000007,CLUSTER_DEGROSSING,2025-08-06,2025-08-06,2025-08-06,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000008,CLUSTER_DEGROSSING,2025-08-07,2025-08-07,2025-08-07,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000009,CLUSTER_DEGROSSING,2025-08-08,2025-08-08,2025-08-08,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000010,CLUSTER_DEGROSSING,2025-08-11,2025-08-11,2025-08-11,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000011,CLUSTER_DEGROSSING,2025-08-12,2025-08-12,2025-08-12,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000012,CLUSTER_DEGROSSING,2025-08-13,2025-08-13,2025-08-13,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000013,CLUSTER_DEGROSSING,2025-08-14,2025-08-14,2025-08-14,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000014,CLUSTER_DEGROSSING,2025-08-15,2025-08-15,2025-08-15,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000015,CLUSTER_DEGROSSING,2025-08-18,2025-08-18,2025-08-18,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000016,CLUSTER_DEGROSSING,2025-08-19,2025-08-19,2025-08-19,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000017,CLUSTER_DEGROSSING,2025-08-20,2025-08-20,2025-08-20,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000018,CLUSTER_DEGROSSING,2025-08-21,2025-08-21,2025-08-21,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000019,CLUSTER_DEGROSSING,2025-08-22,2025-08-22,2025-08-22,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000020,CLUSTER_DEGROSSING,2025-08-25,2025-08-25,2025-08-25,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000021,CLUSTER_DEGROSSING,2025-08-26,2025-08-26,2025-08-26,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000022,CLUSTER_DEGROSSING,2025-08-27,2025-08-27,2025-08-27,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000023,CLUSTER_DEGROSSING,2025-08-28,2025-08-28,2025-08-28,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000024,CLUSTER_DEGROSSING,2025-08-29,2025-08-29,2025-08-29,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000025,CLUSTER_DEGROSSING,2025-09-02,2025-09-02,2025-09-02,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,1.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000026,CLUSTER_DEGROSSING,2025-09-03,2025-09-03,2025-09-03,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000027,CLUSTER_DEGROSSING,2025-09-04,2025-09-04,2025-09-04,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000028,CLUSTER_DEGROSSING,2025-09-05,2025-09-05,2025-09-05,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000029,CLUSTER_DEGROSSING,2025-09-08,2025-09-08,2025-09-08,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000030,CLUSTER_DEGROSSING,2025-09-09,2025-09-09,2025-09-09,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000031,CLUSTER_DEGROSSING,2025-09-10,2025-09-10,2025-09-10,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000032,CLUSTER_DEGROSSING,2025-09-11,2025-09-11,2025-09-11,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000033,CLUSTER_DEGROSSING,2025-09-12,2025-09-12,2025-09-12,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000034,CLUSTER_DEGROSSING,2025-09-15,2025-09-15,2025-09-15,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000035,CLUSTER_DEGROSSING,2025-09-16,2025-09-16,2025-09-16,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
EP000036,CLUSTER_DEGROSSING,2025-09-17,2025-09-17,2025-09-17,prior_v1_1_absorption_episode,,,,,,WFE,UNKNOWN,UNKNOWN,0.0,,True,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY
