ticker,event_id,sensitivity,result,status,research_only,execution_allowed,live_order_allowed,broker_access_allowed,account_access_allowed,consumable_by_production,production_eligible,options_modeled,thresholds_optimized,future_information_allowed,signal_scope,future_safe
MKSI,MKSI_000,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
TER,TER_001,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
AMAT,AMAT_002,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
LRCX,LRCX_003,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
AMAT,AMAT_004,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
KLAC,KLAC_005,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
MKSI,MKSI_006,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
AMAT,AMAT_007,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
AMAT,AMAT_008,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
AMAT,AMAT_009,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
KLAC,KLAC_010,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
KLAC,KLAC_011,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
KLAC,KLAC_012,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
LRCX,LRCX_013,discount_rate_plus_minus_1pct,,BLOCKED_MISSING_REVENUE_BRIDGE,True,False,False,False,False,False,False,False,False,False,MORITA_UNIFIED_FLOW_V3_8_PIT_BAND_RECOVERY_RESEARCH_ONLY,True
